well	UH
struck	VBD
me	PRP
that	IN
ihad	PRP
or	CC
would	VBD
no	DT
right	NN
to	TO
butt	VB
in	RP
on	IN
his	PRP$
secret	JJ
sorrows	NNS
,	,
so	RB
i	PRP
switched	VBD
the	DT
conversation	NN
.	.
"	``
i	PRP
think	VBP
iwill	PRP
get	VB
up	RP
,	,
"	''
i	PRP
said	VBD
.	.
"	``
yes	UH
,	,
sir	NN
.	.
"	''
"	``
i	PRP
ca	MD
n't	RB
wait	VB
to	IN
breakfast	NN
with	IN
the	DT
rest	NN
.	.
can	MD
you	PRP
get	VB
me	PRP
some	DT
right	RB
away	RB
?	.
"	``
"	``
yes	UH
,	,
sir	NN
.	.
"	''
so	RB
i	PRP
had	VBD
a	DT
solitary	JJ
breakfast	NN
and	CC
went	VBD
up	RB
on	IN
deck	NN
to	TO
smoke	VB
.	.
it	PRP
was	VBD
a	DT
lovely	JJ
morning	NN
.	.
blue	JJ
sea	NNP
,	,
gleaming	VBG
casino	NN
,	,
cloudless	JJ
sky	NN
,	,
and	CC
all	PDT
the	DT
rest	NN
of	IN
the	DT
hippodrome	NN
.	.
presently	RB
the	DT
others	NNS
began	VBD
to	TO
trickle	VB
up	RB
.	.
stella	NNP
vanderley	NNP
was	VBD
one	CD
of	IN
the	DT
first	JJ
.	.
i	PRP
thought	VBD
she	PRP
looked	VBD
a	DT
bit	NN
pale	JJ
and	CC
tired	JJ
.	.
she	PRP
said	VBD
she	PRP
had	VBD
n't	RB
slept	VBN
well	RB
.	.
that	DT
accounted	VBD
for	IN
it	PRP
.	.
unless	IN
you	PRP
get	VBP
your	PRP$
eight	CD
hours	NNS
,	,
where	WRB
are	VBP
you	PRP
?	.
"	``
seen	VBN
george	NNP
?	.
"	''
i	PRP
asked	VBD
.	.
i	PRP
could	MD
n't	RB
help	VB
thinking	VBG
the	DT
name	NN
seemed	VBD
to	TO
freeze	VB
her	PRP
a	DT
bit	NN
.	.
which	WDT
was	VBD
queer	JJ
,	,
because	IN
all	PDT
the	DT
voyage	NN
she	PRP
and	CC
george	NNP
had	VBD
been	VBN
particularly	RB
close	JJ
pals	NNS
.	.
in	IN
fact	NN
,	,
at	IN
any	DT
moment	NN
i	PRP
expected	VBD
george	NNP
to	TO
come	VB
to	IN
me	PRP
and	CC
slip	VB
his	PRP$
little	JJ
hand	NN
in	IN
mine	PRP
,	,
and	CC
whisper	VB
"	``
ihave	PRP
done	VBN
it	PRP
,	,
old	JJ
scout	NN
;	:
she	PRP
loves	VBZ
muh	PRP
!	.
"	``
"	``
i	PRP
have	VBP
not	RB
seen	VBN
mr	NNP
.	NNP
lattaker	NNP
,	,
"	''
she	PRP
said	VBD
.	.
i	PRP
did	VBD
n't	RB
pursue	VB
the	DT
subject	NN
.	.
george	NNP
's	POS
stock	NN
was	VBD
apparently	RB
low	JJ
that	IN
a.m.	NN
the	DT
next	JJ
item	NN
in	IN
the	DT
day	NN
's	POS
programme	NN
occurred	VBD
a	DT
few	JJ
minutes	NNS
later	RB
when	WRB
the	DT
morning	NN
papers	NNS
arrived	VBD
.	.
mrs	NNP
.	NNP
vanderley	NNP
opened	VBD
hers	PRP
and	CC
gave	VBD
a	DT
scream	NN
.	.
"	``
the	DT
poor	JJ
,	,
dear	JJ
prince	NN
!	.
"	''
she	PRP
said	VBD
.	.
"	``
what	WDT
a	DT
shocking	JJ
thing	NN
!	.
"	''
said	VBD
old	JJ
marshall	NNP
.	.
"	``
i	PRP
knew	VBD
him	PRP
in	IN
vienna	NNP
,	,
"	''
said	VBD
mrs	NNP
.	NNP
vanderley	NNP
.	.
"	``
he	PRP
waltzed	VBD
divinely	RB
.	.
"	``
"	``
this	DT
is	VBZ
going	VBG
to	TO
do	VB
somebody	NN
no	DT
good	NN
,	,
"	''
i	PRP
said	VBD
.	.
"	``
what	WP
do	VBP
you	PRP
get	VB
for	IN
slugging	VBG
a	DT
serene	JJ
highness	NN
?	.
i	PRP
wonder	VBP
if	IN
theywill	PRP
catch	VB
the	DT
fellow	NN
?	.
"	''
"	``
'	``
later	RB
,	,
'	''
"	''
read	VBD
old	JJ
marshall	NNP
,	,
"	``
'	``
the	DT
pedestrian	NN
who	WP
discovered	VBD
his	PRP$
serene	JJ
highness	NN
proves	VBZ
to	TO
have	VB
been	VBN
mr	NNP
.	NNP
denman	NNP
sturgis	NNP
,	,
the	DT
eminent	JJ
private	JJ
investigator	NN
.	.
mr	NNP
.	NNP
sturgis	NNP
has	VBZ
offered	VBN
his	PRP$
services	NNS
to	IN
the	DT
police	NN
,	,
and	CC
is	VBZ
understood	VBN
to	TO
be	VB
in	IN
possession	NN
of	IN
a	DT
most	RBS
important	JJ
clue	NN
.	.
'	''
that	DT
's	VBZ
the	DT
fellow	NN
who	WP
had	VBD
charge	NN
of	IN
that	DT
kidnapping	NN
case	NN
in	IN
chicago	NNP
.	.
if	IN
anyone	NN
can	MD
catch	VB
the	DT
man	NN
,	,
he	PRP
can	MD
.	.
"	``
about	RB
five	CD
minutes	NNS
later	RB
,	,
just	RB
as	IN
the	DT
rest	NN
of	IN
them	PRP
were	VBD
going	VBG
to	TO
move	VB
off	RP
to	IN
breakfast	NN
,	,
a	DT
boat	NN
hailed	VBD
us	PRP
and	CC
came	VBD
alongside	RB
.	.
a	DT
tall	JJ
,	,
thin	JJ
man	NN
came	VBD
up	IN
the	DT
gangway	NN
.	.
he	PRP
looked	VBD
round	IN
the	DT
group	NN
,	,
and	CC
fixed	VBD
on	IN
old	JJ
marshall	NNP
as	IN
the	DT
probable	JJ
owner	NN
of	IN
the	DT
yacht	NN
.	.
"	``
good	JJ
morning	NN
,	,
"	''
he	PRP
said	VBD
.	.
"	``
i	PRP
believe	VBP
you	PRP
have	VBP
a	DT
mr	NNP
.	NNP
lattaker	NNP
on	IN
board	NN
mr	NNP
.	NNP
george	NNP
lattaker	NNP
?	.
"	``
"	``
yes	UH
,	,
"	''
said	VBD
marshall	NNP
.	.
"	``
he	PRP
's	VBZ
down	RB
below	RB
.	.
want	VBP
to	TO
see	VB
him	PRP
?	.
whom	WP
shall	MD
i	PRP
say	VB
?	.
"	''
"	``
he	PRP
would	MD
not	RB
know	VB
my	PRP$
name	NN
.	.
i	PRP
should	MD
like	VB
to	TO
see	VB
him	PRP
for	IN
a	DT
moment	NN
on	IN
somewhat	RB
urgent	JJ
business	NN
.	.
"	``
"	``
take	VB
a	DT
seat	NN
.	.
hewill	PRP
be	VB
up	RB
in	IN
a	DT
moment	NN
.	.
reggie	NNP
,	,
my	PRP$
boy	NN
,	,
go	VB
and	CC
hurry	VB
him	PRP
up	RP
.	.
"	``
i	PRP
went	VBD
down	RB
to	IN
george	NNP
's	POS
state	NN
-	HYPH
room	NN
.	.
"	``
george	NNP
,	,
old	JJ
man	NN
!	.
"	''
i	PRP
shouted	VBD
.	.
no	DT
answer	NN
.	.
i	PRP
opened	VBD
the	DT
door	NN
and	CC
went	VBD
in	IN
.	.
the	DT
room	NN
was	VBD
empty	JJ
.	.
what	WP
's	VBZ
more	JJR
,	,
the	DT
bunk	NN
had	VBD
n't	RB
been	VBN
slept	VBN
in	RP
.	.
i	PRP
do	VBP
n't	RB
know	VB
when	WRB
ihave	PRP
been	VBN
more	RBR
surprised	JJ
.	.
i	PRP
went	VBD
on	IN
deck	NN
.	.
"	``
he	PRP
is	VBZ
not	RB
there	RB
,	,
"	''
i	PRP
said	VBD
.	.
"	``
not	RB
there	RB
!	.
"	''
said	VBD
old	JJ
marshall	NNP
.	.
"	``
where	WRB
is	VBZ
he	PRP
,	,
then	RB
?	.
perhaps	RB
he	PRP
's	VBZ
gone	VBN
for	IN
a	DT
stroll	NN
ashore	RB
.	.
but	CC
hewill	PRP
be	VB
back	RB
soon	RB
for	IN
breakfast	NN
.	.
youhad	VBD
or	CC
would	MD
better	RBR
wait	VB
for	IN
him	PRP
.	.
have	VBP
you	PRP
breakfasted	VBN
?	.
no	UH
?	.
then	RB
will	MD
you	PRP
join	VB
us	PRP
?	.
"	''
the	DT
man	NN
said	VBD
he	PRP
would	MD
,	,
and	CC
just	RB
then	RB
the	DT
gong	NN
went	VBD
and	CC
they	PRP
trooped	VBD
down	RB
,	,
leaving	VBG
me	PRP
alone	JJ
on	IN
deck	NN
.	.
i	PRP
sat	VBD
smoking	VBG
and	CC
thinking	VBG
,	,
and	CC
then	RB
smoking	VBG
a	DT
bit	NN
more	RBR
,	,
when	WRB
i	PRP
thought	VBD
i	PRP
heard	VBD
somebody	NN
call	VB
my	PRP$
name	NN
in	IN
a	DT
sort	NN
of	IN
hoarse	JJ
whisper	NN
.	.
i	PRP
looked	VBD
over	IN
my	PRP$
shoulder	NN
,	,
and	CC
,	,
by	IN
jove	NNP
,	,
there	RB
at	IN
the	DT
top	NN
of	IN
the	DT
gangway	NN
in	IN
evening	NN
dress	NN
,	,
dusty	JJ
to	IN
the	DT
eyebrows	NNS
and	CC
without	IN
a	DT
hat	NN
,	,
was	VBD
dear	JJ
old	JJ
george	NNP
.	.
"	``
great	JJ
scot	NNP
!	.
"	''
i	PRP
cried	VBD
.	.
"	``
'	UH
sh	UH
!	.
"	''
he	PRP
whispered	VBD
.	.
"	``
anyone	NN
about	RB
?	.
"	''
"	``
theyare	PRP
all	DT
down	RB
at	IN
breakfast	NN
.	.
"	''
he	PRP
gave	VBD
a	DT
sigh	NN
of	IN
relief	NN
,	,
sank	VBD
into	IN
my	PRP$
chair	NN
,	,
and	CC
closed	VBD
his	PRP$
eyes	NNS
.	.
i	PRP
regarded	VBD
him	PRP
with	IN
pity	NN
.	.
the	DT
poor	JJ
old	JJ
boy	NN
looked	VBD
a	DT
wreck	NN
.	.
"	``
i	PRP
say	VBP
!	.
"	''
i	PRP
said	VBD
,	,
touching	VBG
him	PRP
on	IN
the	DT
shoulder	NN
.	.
he	PRP
leaped	VBD
out	IN
of	IN
the	DT
chair	NN
with	IN
a	DT
smothered	JJ
yell	NN
.	.
"	``
did	VBD
you	PRP
do	VB
that	DT
?	.
what	WP
did	VBD
you	PRP
do	VB
it	PRP
for	IN
?	.
what	WP
's	VBZ
the	DT
sense	NN
of	IN
it	PRP
?	.
how	WRB
do	VBP
you	PRP
suppose	VB
you	PRP
can	MD
ever	RB
make	VB
yourself	PRP
popular	JJ
if	IN
you	PRP
go	VBP
about	RP
touching	VBG
people	NNS
on	IN
the	DT
shoulder	NN
?	.
my	PRP$
nerves	NNS
are	VBP
sticking	VBG
a	DT
yard	NN
out	IN
of	IN
my	PRP$
body	NN
this	DT
morning	NN
,	,
reggie	NNP
!	.
"	''
"	``
yes	UH
,	,
old	JJ
boy	NN
?	.
"	''
"	``
i	PRP
did	VBD
a	DT
murder	NN
last	JJ
night	NN
.	.
"	``
"	``
what	WP
?	.
"	''
"	``
it	PRP
's	VBZ
the	DT
sort	NN
of	IN
thing	NN
that	WDT
might	MD
happen	VB
to	IN
anybody	NN
.	.
directly	RB
stella	NNP
vanderley	NNP
broke	VBD
off	RP
our	PRP$
engagement	NN
i	PRP
"	``
"	``
broke	VBD
off	RP
your	PRP$
engagement	NN
?	.
how	WRB
long	RB
were	VBD
you	PRP
engaged	VBN
?	.
"	''
"	``
about	RB
two	CD
minutes	NNS
.	.
it	PRP
may	MD
have	VB
been	VBN
less	JJR
.	.
i	PRP
had	VBD
n't	RB
a	DT
stop	NN
-	HYPH
watch	NN
.	.
i	PRP
proposed	VBD
to	IN
her	PRP
at	IN
ten	CD
last	JJ
night	NN
in	IN
the	DT
saloon	NN
.	.
she	PRP
accepted	VBD
me	PRP
.	.
i	PRP
was	VBD
just	RB
going	VBG
to	TO
kiss	VB
her	PRP
when	WRB
we	PRP
heard	VBD
someone	NN
coming	VBG
.	.
i	PRP
went	VBD
out	RB
.	.
coming	VBG
along	IN
the	DT
corridor	NN
was	VBD
that	DT
infernal	JJ
what's	VBZ
-	HYPH
her	PRP
-	HYPH
name	NN
mrs	NNP
.	NNP
vanderley	NNP
's	POS
maid	NN
pilbeam	NNP
.	.
have	VBP
you	PRP
ever	RB
been	VBN
accepted	VBN
by	IN
the	DT
girl	NN
you	PRP
love	VBP
,	,
reggie	NNP
?	.
"	''
"	``
never	RB
.	.
ihave	PRP
been	VBN
refused	VBN
dozens	NNS
"	``
"	``
then	RB
you	PRP
wo	MD
n't	RB
understand	VB
how	WRB
i	PRP
felt	VBD
.	.
i	PRP
was	VBD
off	IN
my	PRP$
head	NN
with	IN
joy	NN
.	.
i	PRP
hardly	RB
knew	VBD
what	WP
i	PRP
was	VBD
doing	VBG
.	.
i	PRP
just	RB
felt	VBD
i	PRP
had	VBD
to	TO
kiss	VB
the	DT
nearest	JJS
thing	NN
handy	JJ
.	.
i	PRP
could	MD
n't	RB
wait	VB
.	.
it	PRP
might	MD
have	VB
been	VBN
the	DT
ship	NN
's	POS
cat	NN
.	.
it	PRP
was	VBD
n't	RB
.	.
it	PRP
was	VBD
pilbeam	NNP
.	.
"	``
"	``
you	PRP
kissed	VBD
her	PRP
?	.
"	''
"	''
i	PRP
kissed	VBD
her	PRP
.	.
and	CC
just	RB
at	IN
that	DT
moment	NN
the	DT
door	NN
of	IN
the	DT
saloon	NN
opened	VBD
and	CC
out	RB
came	VBD
stella	NNP
.	.
"	``
"	``
great	JJ
scott	NNP
!	.
"	''
i	PRP
dived	VBD
for	IN
the	DT
paper	NN
.	.
"	``
read	VB
,	,
"	''
i	PRP
said	VBD
.	.
"	``
it	PRP
's	VBZ
all	DT
there	RB
.	.
"	''
he	PRP
read	VBD
.	.
"	``
good	JJ
heavens	NNS
!	.
"	''
he	PRP
said	VBD
.	.
"	``
you	PRP
did	VBD
n't	RB
do	VB
a	DT
thing	NN
to	IN
his	PRP$
serene	NNP
nibs	NNPS
,	,
did	VBD
you	PRP
?	.
"	''
"	``
reggie	NNP
,	,
this	DT
is	VBZ
awful	JJ
.	.
"	''
"	``
cheer	VB
up	RP
.	.
they	PRP
say	VBP
hewill	PRP
recover	VB
.	.
"	``
"	``
that	DT
does	VBZ
n't	RB
matter	VB
.	.
"	''
"	``
it	PRP
does	VBZ
to	IN
him	PRP
.	.
"	''
he	PRP
read	VBD
the	DT
paper	NN
again	RB
.	.
"	``
it	PRP
says	VBZ
theyhave	PRP
a	DT
clue	NN
.	.
"	''
"	``
they	PRP
always	RB
say	VBP
that	DT
.	.
"	''
"	``
but	CC
my	PRP$
hat	NN
!	.
"	''
"	``
eh	UH
?	.
"	``
"	``
my	PRP$
hat	NN
.	.
i	PRP
must	MD
have	VB
dropped	VBD
it	PRP
during	IN
the	DT
scrap	NN
.	.
this	DT
man	NN
,	,
denman	NNP
sturgis	NNP
,	,
must	MD
have	VB
found	VBN
it	PRP
.	.
it	PRP
had	VBD
my	PRP$
name	NN
in	IN
it	PRP
!	.
"	''
"	``
george	NNP
,	,
"	''
i	PRP
said	VBD
,	,
"	``
you	PRP
must	MD
n't	RB
waste	VB
time	NN
.	.
oh	UH
!	.
"	''
he	PRP
jumped	VBD
a	DT
foot	NN
in	IN
the	DT
air	NN
.	.
"	``
do	VBP
n't	RB
do	VB
it	PRP
!	.
"	''
he	PRP
said	VBD
,	,
irritably	RB
.	.
"	``
do	VB
n't	RB
bark	VB
like	IN
that	DT
.	.
what	WP
's	VBZ
the	DT
matter	NN
?	.
"	''
"	``
the	DT
man	NN
!	.
"	``
"	``
what	WP
man	NN
?	.
"	''
"	``
a	DT
tall	JJ
,	,
thin	JJ
man	NN
with	IN
an	DT
eye	NN
like	IN
a	DT
gimlet	NN
.	.
he	PRP
arrived	VBD
just	RB
before	IN
you	PRP
did	VBD
.	.
he	PRP
's	VBZ
down	RB
in	IN
the	DT
saloon	NN
now	RB
,	,
having	VBG
breakfast	NN
.	.
he	PRP
said	VBD
he	PRP
wanted	VBD
to	TO
see	VB
you	PRP
on	IN
business	NN
,	,
and	CC
would	MD
n't	RB
give	VB
his	PRP$
name	NN
.	.
i	PRP
did	VBD
n't	RB
like	VB
the	DT
look	NN
of	IN
him	PRP
from	IN
the	DT
first	JJ
.	.
it	PRP
's	VBZ
this	DT
fellow	NN
sturgis	NNP
.	.
it	PRP
must	MD
be	VB
.	.
"	``
"	``
no	UH
!	.
"	''
"	``
i	PRP
feel	VBP
it	PRP
.	.
iam	PRP
sure	JJ
of	IN
it	PRP
.	.
"	``
"	``
had	VBD
he	PRP
a	DT
hat	NN
?	.
"	''
"	``
of	RB
course	RB
he	PRP
had	VBD
a	DT
hat	NN
.	.
"	''
"	``
fool	XX
!	.
i	PRP
mean	VBP
mine	PRP
.	.
was	VBD
he	PRP
carrying	VBG
a	DT
hat	NN
?	.
"	''
"	``
by	IN
jove	NNP
,	,
he	PRP
was	VBD
carrying	VBG
a	DT
parcel	NN
.	.
george	NNP
,	,
old	JJ
scout	NN
,	,
you	PRP
must	MD
get	VB
a	DT
move	NN
on	RP
.	.
you	PRP
must	MD
light	VB
out	RP
if	IN
you	PRP
want	VBP
to	TO
spend	VB
the	DT
rest	NN
of	IN
your	PRP$
life	NN
out	IN
of	IN
prison	NN
.	.
slugging	VBG
a	DT
serene	JJ
highness	NN
is	VBZ
lèse	FW
-	HYPH
majesté	FW
.	.
it	PRP
's	VBZ
worse	JJR
than	IN
hitting	VBG
a	DT
policeman	NN
.	.
you	PRP
have	VBP
n't	RB
got	VBD
a	DT
moment	NN
to	TO
waste	VB
.	.
"	''
"	``
but	CC
i	PRP
have	VBP
n't	RB
any	DT
money	NN
.	.
reggie	NNP
,	,
old	JJ
man	NN
,	,
lend	VB
me	PRP
a	DT
tenner	NN
or	CC
something	NN
.	.
i	PRP
must	MD
get	VB
over	IN
the	DT
frontier	NN
into	IN
italy	NNP
at	IN
once	RB
.	.
iwill	PRP
wire	VB
my	PRP$
uncle	NN
to	TO
meet	VB
me	PRP
in	IN
"	``
"	``
look	VB
out	IN
,	,
"	''
i	PRP
cried	VBD
;	:
"	``
there	EX
's	VBZ
someone	NN
coming	VBG
!	.
"	''
he	PRP
dived	VBD
out	IN
of	IN
sight	NN
just	RB
as	IN
voules	NNP
came	VBD
up	IN
the	DT
companion	NN
-	HYPH
way	NN
,	,
carrying	VBG
a	DT
letter	NN
on	IN
a	DT
tray	NN
.	.
"	``
what	WP
's	VBZ
the	DT
matter	NN
!	.
"	''
i	PRP
said	VBD
.	.
"	``
what	WP
do	VBP
you	PRP
want	VB
?	.
"	''
"	``
i	PRP
beg	VBP
your	PRP$
pardon	NN
,	,
sir	NN
.	.
i	PRP
thought	VBD
i	PRP
heard	VBD
mr	NNP
.	NNP
lattaker	NNP
's	POS
voice	NN
.	.
a	DT
letter	NN
has	VBZ
arrived	VBN
for	IN
him	PRP
.	.
"	``
"	``
he	PRP
is	VBZ
not	RB
here	RB
.	.
"	``
"	``
no	UH
,	,
sir	NNP
.	.
shall	MD
i	PRP
remove	VB
the	DT
letter	NN
?	.
"	``
"	``
no	UH
;	:
give	VB
it	PRP
to	IN
me	PRP
.	.
iwill	PRP
give	VB
it	PRP
to	IN
him	PRP
when	WRB
he	PRP
comes	VBZ
.	.
"	``
"	``
very	RB
good	JJ
,	,
sir	NN
.	.
"	''
"	``
oh	UH
,	,
voules	FW
!	.
are	VBP
they	PRP
all	DT
still	RB
at	IN
breakfast	NN
?	.
the	DT
gentleman	NN
who	WP
came	VBD
to	TO
see	VB
mr	NNP
.	NNP
lattaker	NNP
?	.
still	RB
hard	JJ
at	IN
it	PRP
?	.
"	``
"	``
he	PRP
is	VBZ
at	IN
present	JJ
occupied	VBN
with	IN
a	DT
kippered	JJ
herring	NN
,	,
sir	NNP
.	.
"	''
"	``
ah	UH
!	.
that	DT
's	VBZ
all	DT
,	,
voules	NNP
.	.
"	``
