yes	UH
when	WRB
you	PRP
uncoil	VB
a	DT
tortoise	NN
you	PRP
must	MD
shell	VB
him	PRP
out	IN
the	DT
water	NN
with	IN
a	DT
scoop	NN
,	,
and	CC
when	WRB
you	PRP
paw	VBP
a	DT
hedgehog	NN
you	PRP
must	MD
drop	VB
him	PRP
on	IN
the	DT
shell	NN
.	.
’	''
‘	``
are	VBP
you	PRP
sure	JJ
of	IN
what	WP
your	PRP$
mummy	NN
told	VBD
you	PRP
?	.
’	''
said	VBD
slow	JJ
-	HYPH
and	CC
-	HYPH
solid	JJ
tortoise	NN
.	.
‘	``
are	VBP
you	PRP
quite	RB
sure	JJ
?	.
perhaps	RB
she	PRP
said	VBD
that	IN
when	WRB
you	PRP
water	VBP
a	DT
hedgehog	NN
you	PRP
must	MD
drop	VB
him	PRP
into	IN
your	PRP$
paw	NN
,	,
and	CC
when	WRB
you	PRP
meet	VBP
a	DT
tortoise	NN
you	PRP
must	MD
shell	VB
him	PRP
till	IN
he	PRP
uncoils	VBZ
.	.
’	''
‘	``
i	PRP
do	VBP
not	RB
think	VB
it	PRP
was	VBD
at	RB
all	RB
like	IN
that	DT
,	,
’	''
said	VBD
painted	VBN
jaguar	NN
,	,
but	CC
he	PRP
felt	VBD
a	DT
little	JJ
puzzled	JJ
;	:
‘	``
but	CC
,	,
please	UH
,	,
say	VB
it	PRP
again	RB
more	RBR
distinctly	RB
.	.
’	''
‘	``
when	WRB
you	PRP
scoop	VBP
water	NN
with	IN
your	PRP$
paw	NN
you	PRP
uncoil	VBP
it	PRP
with	IN
a	DT
hedgehog	NN
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
remember	VB
that	DT
,	,
because	IN
it	PRP
’s	VBZ
important	JJ
.	.
’	``
‘	``
but	CC
,	,
’	''
said	VBD
the	DT
tortoise	NN
,	,
‘	``
when	WRB
you	PRP
paw	VBP
your	PRP$
meat	NN
you	PRP
drop	VBP
it	PRP
into	IN
a	DT
tortoise	NN
with	IN
a	DT
scoop	NN
.	.
why	WRB
can	MD
not	RB
you	PRP
understand	VB
?	.
’	''
‘	``
you	PRP
are	VBP
making	VBG
my	PRP$
spots	NNS
ache	VB
,	,
’	''
said	VBD
painted	VBN
jaguar	NNP
;	:
‘	``
and	CC
besides	RB
,	,
i	PRP
did	VBD
not	RB
want	VB
your	PRP$
advice	NN
at	RB
all	RB
.	.
i	PRP
only	RB
wanted	VBD
to	TO
know	VB
which	WDT
of	IN
you	PRP
is	VBZ
hedgehog	NN
and	CC
which	WDT
is	VBZ
tortoise	NN
.	.
’	''
‘	``
i	PRP
sha	MD
n’t	RB
tell	VB
you	PRP
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
,	,
‘	``
but	CC
you	PRP
can	MD
scoop	VB
me	PRP
out	IN
of	IN
my	PRP$
shell	NN
if	IN
you	PRP
like	VBP
.	.
’	''
‘	``
but	CC
i	PRP
am	VBP
tortoise	NN
,	,
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	JJ
.	.
your	PRP$
mother	NN
was	VBD
quite	RB
right	JJ
.	.
she	PRP
said	VBD
that	IN
you	PRP
were	VBD
to	TO
scoop	VB
me	PRP
out	IN
of	IN
my	PRP$
shell	NN
with	IN
your	PRP$
paw	NN
.	.
begin	NNP
.	.
’	''
‘	``
you	PRP
did	VBD
not	RB
say	VB
she	PRP
said	VBD
that	IN
a	DT
minute	NN
ago	RB
,	,
said	VBD
painted	VBN
jaguar	NNP
,	,
sucking	VBG
the	DT
prickles	NNS
out	IN
of	IN
his	PRP$
paddy	NN
-	HYPH
paw	NN
.	.
‘	``
you	PRP
said	VBD
she	PRP
said	VBD
something	NN
quite	RB
different	JJ
.	.
’	''
‘	``
well	UH
,	,
suppose	VB
you	PRP
say	VBP
that	IN
i	PRP
said	VBD
that	IN
she	PRP
said	VBD
something	NN
quite	RB
different	JJ
,	,
i	PRP
do	VBP
not	RB
see	VB
that	IN
it	PRP
makes	VBZ
any	DT
difference	NN
;	:
because	IN
if	IN
she	PRP
said	VBD
what	WP
you	PRP
said	VBD
i	PRP
said	VBD
she	PRP
said	VBD
,	,
it	PRP
’s	VBZ
just	RB
the	DT
same	JJ
as	IN
if	IN
i	PRP
said	VBD
what	WP
she	PRP
said	VBD
she	PRP
said	VBD
.	.
on	IN
the	DT
other	JJ
hand	NN
,	,
if	IN
you	PRP
think	VBP
she	PRP
said	VBD
that	IN
you	PRP
were	VBD
to	TO
uncoil	VB
me	PRP
with	IN
a	DT
scoop	NN
,	,
instead	RB
of	IN
pawing	VBG
me	PRP
into	IN
drops	NNS
with	IN
a	DT
shell	NN
,	,
i	PRP
can	MD
not	RB
help	VB
that	DT
,	,
can	MD
i	PRP
?	.
’	''
‘	``
but	CC
you	PRP
said	VBD
you	PRP
wanted	VBD
to	TO
be	VB
scooped	VBN
out	IN
of	IN
your	PRP$
shell	NN
with	IN
my	PRP$
paw	NN
,	,
’	''
said	VBD
painted	VBN
jaguar	NNP
.	.
‘	``
if	IN
you	PRP
’ll	MD
think	VB
again	RB
you	PRP
’ll	MD
find	VB
that	IN
i	PRP
did	VBD
not	RB
say	VB
anything	NN
of	IN
the	DT
kind	NN
.	.
i	PRP
said	VBD
that	IN
your	PRP$
mother	NN
said	VBD
that	IN
you	PRP
were	VBD
to	TO
scoop	VB
me	PRP
out	IN
of	IN
my	PRP$
shell	NN
,	,
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	JJ
.	.
‘	``
what	WP
will	MD
happen	VB
if	IN
i	PRP
do	VBP
?	.
’	''
said	VBD
the	DT
jaguar	NN
most	RBS
sniffily	RB
and	CC
most	RBS
cautious	JJ
.	.
‘	``
i	PRP
do	VBP
not	RB
know	VB
,	,
because	IN
ihave	PRP
never	RB
been	VBN
scooped	VBN
out	IN
of	IN
my	PRP$
shell	NN
before	RB
;	:
but	CC
i	PRP
tell	VBP
you	PRP
truly	RB
,	,
if	IN
you	PRP
want	VBP
to	TO
see	VB
me	PRP
swim	VB
away	RB
youhave	PRP
only	RB
got	VBN
to	TO
drop	VB
me	PRP
into	IN
the	DT
water	NN
.	.
‘	``
i	PRP
warn	VBP
you	PRP
that	IN
your	PRP$
mummy	NN
will	MD
not	RB
be	VB
pleased	JJ
.	.
do	VB
n’t	RB
tell	VB
her	PRP
i	PRP
did	VBD
not	RB
tell	VB
you	PRP
,	,
’	''
said	VBD
slow	NNP
-	HYPH
solid	NNP
.	.
‘	``
if	IN
you	PRP
say	VB
another	DT
word	NN
about	IN
what	WP
my	PRP$
mother	NN
said	VBD
’	''
the	DT
jaguar	NN
answered	VBD
,	,
but	CC
he	PRP
had	VBD
not	RB
finished	VBN
the	DT
sentence	NN
before	IN
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	NNP
quietly	RB
dived	VBD
into	IN
the	DT
turbid	JJ
amazon	NNP
,	,
swam	VBD
under	IN
water	NN
for	IN
a	DT
long	JJ
way	NN
,	,
and	CC
came	VBD
out	RB
on	IN
the	DT
bank	NN
where	WRB
stickly	NNP
-	HYPH
prickly	RB
was	VBD
waiting	VBG
for	IN
him	PRP
.	.
‘	``
that	DT
was	VBD
a	DT
very	RB
narrow	JJ
escape	NN
,	,
’	''
said	VBD
stickly	NNP
-	HYPH
prickly	NNP
.	.
‘	``
i	PRP
do	VBP
not	RB
rib	VB
painted	VBN
jaguar	NNP
.	.
what	WP
did	VBD
you	PRP
tell	VB
him	PRP
that	IN
you	PRP
were	VBD
?	.
’	''
‘	``
i	PRP
told	VBD
him	PRP
truthfully	RB
that	IN
i	PRP
was	VBD
a	DT
truthful	JJ
tortoise	NN
,	,
but	CC
he	PRP
would	MD
n’t	RB
believe	VB
it	PRP
,	,
and	CC
he	PRP
made	VBD
me	PRP
jump	VB
into	IN
the	DT
river	NN
to	TO
see	VB
if	IN
i	PRP
was	VBD
,	,
and	CC
i	PRP
was	VBD
,	,
and	CC
he	PRP
is	VBZ
surprised	VBN
.	.
now	RB
he	PRP
’s	VBZ
gone	VBN
to	TO
tell	VB
his	PRP$
mummy	NN
.	.
listen	VB
to	IN
him	PRP
!	.
’	''
they	PRP
could	MD
hear	VB
painted	VBN
jaguar	NN
roaring	VBG
up	IN
and	CC
down	IN
among	IN
the	DT
trees	NNS
and	CC
the	DT
bushes	NNS
by	IN
the	DT
side	NN
of	IN
the	DT
turbid	JJ
amazon	NNP
,	,
till	IN
his	PRP$
mummy	NN
came	VBD
.	.
‘	``
son	NN
,	,
son	NN
!	,
’	''
said	VBD
his	PRP$
mother	NN
ever	RB
so	RB
many	JJ
times	NNS
,	,
graciously	RB
waving	VBG
her	PRP$
tail	NN
,	,
‘	``
what	WP
have	VBP
you	PRP
been	VBN
doing	VBG
that	WDT
you	PRP
should	MD
n’t	RB
have	VB
done	VBN
?	.
’	''
‘	``
i	PRP
tried	VBD
to	TO
scoop	VB
something	NN
that	WDT
said	VBD
it	PRP
wanted	VBD
to	TO
be	VB
scooped	VBN
out	IN
of	IN
its	PRP$
shell	NN
with	IN
my	PRP$
paw	NN
,	,
and	CC
my	PRP$
paw	NN
is	VBZ
full	JJ
of	IN
per	NN
-	HYPH
ickles	NNS
,	,
’	''
said	VBD
painted	VBN
jaguar	NNP
.	.
‘	``
son	NNP
,	,
son	NN
!	.
’	''
said	VBD
his	PRP$
mother	NN
ever	RB
so	RB
many	JJ
times	NNS
,	,
graciously	RB
waving	VBG
her	PRP$
tail	NN
,	,
‘	``
by	IN
the	DT
prickles	NNS
in	IN
your	PRP$
paddy	NN
-	HYPH
paw	NN
i	PRP
see	VBP
that	IN
that	DT
must	MD
have	VB
been	VBN
a	DT
hedgehog	NN
.	.
you	PRP
should	MD
have	VB
dropped	VBN
him	PRP
into	IN
the	DT
water	NN
.	.
‘	``
i	PRP
did	VBD
that	DT
to	IN
the	DT
other	JJ
thing	NN
;	:
and	CC
he	PRP
said	VBD
he	PRP
was	VBD
a	DT
tortoise	NN
,	,
and	CC
i	PRP
did	VBD
not	RB
believe	VB
him	PRP
,	,
and	CC
it	PRP
was	VBD
quite	RB
true	JJ
,	,
and	CC
he	PRP
has	VBZ
dived	VBN
under	IN
the	DT
turbid	NNP
amazon	NNP
,	,
and	CC
he	PRP
will	MD
not	RB
come	VB
up	RB
again	RB
,	,
and	CC
i	PRP
have	VBP
n’t	RB
anything	NN
at	RB
all	RB
to	TO
eat	VB
,	,
and	CC
i	PRP
think	VBP
we	PRP
had	VBD
better	RBR
find	VB
lodgings	NNS
somewhere	RB
else	RB
.	.
they	PRP
are	VBP
too	RB
clever	JJ
on	IN
the	DT
turbid	NNP
amazon	NNP
for	IN
poor	JJ
me	PRP
!	.
’	''
‘	``
son	NN
,	,
son	NN
!	.
’	''
said	VBD
his	PRP$
mother	NN
ever	RB
so	RB
many	JJ
times	NNS
,	,
graciously	RB
waving	VBG
her	PRP$
tail	NN
,	,
‘	``
now	RB
attend	VB
to	IN
me	PRP
and	CC
remember	VB
what	WP
i	PRP
say	VBP
.	.
a	DT
hedgehog	NN
curls	VBZ
himself	PRP
up	RP
into	IN
a	DT
ball	NN
and	CC
his	PRP$
prickles	NNS
stick	VBP
out	RP
every	DT
which	WDT
way	NN
at	IN
once	RB
.	.
by	IN
this	DT
you	PRP
may	MD
know	VB
the	DT
hedgehog	NN
.	.
’	''
‘	``
i	PRP
do	VBP
not	RB
like	VB
this	DT
old	JJ
lady	NN
one	CD
little	JJ
bit	NN
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
,	,
under	IN
the	DT
shadow	NN
of	IN
a	DT
large	JJ
leaf	NN
.	.
‘	``
i	PRP
wonder	VBP
what	WP
else	RB
she	PRP
knows	VBZ
?	.
’	``
‘	``
a	DT
tortoise	NN
can	MD
not	RB
curl	VB
himself	PRP
up	RP
,	,
’	''
mother	NN
jaguar	NNP
went	VBD
on	RP
,	,
ever	RB
so	RB
many	JJ
times	NNS
,	,
graciously	RB
waving	VBG
her	PRP$
tail	NN
.	.
‘	``
he	PRP
only	RB
draws	VBZ
his	PRP$
head	NN
and	CC
legs	NNS
into	IN
his	PRP$
shell	NN
.	.
by	IN
this	DT
you	PRP
may	MD
know	VB
the	DT
tortoise	NN
.	.
’	''
‘	``
i	PRP
do	VBP
not	RB
like	VB
this	DT
old	JJ
lady	NN
at	RB
all	RB
at	RB
all	RB
,	,
’	''
said	VBD
slow	JJ
-	HYPH
and	CC
-	HYPH
solid	JJ
tortoise	NN
.	.
‘	``
even	RB
painted	VBN
jaguar	NN
can	MD
not	RB
forget	VB
those	DT
directions	NNS
.	.
it	PRP
is	VBZ
a	DT
great	JJ
pity	NN
that	IN
you	PRP
can	MD
not	RB
swim	VB
,	,
stickly	RB
-	HYPH
prickly	RB
.	.
’	''
‘	``
do	VBP
n’t	RB
talk	VB
to	IN
me	PRP
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
just	RB
think	VB
how	WRB
much	RB
better	RBR
it	PRP
would	MD
be	VB
if	IN
you	PRP
could	MD
curl	VB
up	RP
.	.
this	DT
is	VBZ
a	DT
mess	NN
!	.
listen	VB
to	IN
painted	NNP
jaguar	NNP
.	.
’	''
painted	NNP
jaguar	NNP
was	VBD
sitting	VBG
on	IN
the	DT
banks	NNS
of	IN
the	DT
turbid	JJ
amazon	NN
sucking	VBG
prickles	NNS
out	IN
of	IN
his	PRP$
paws	NNS
and	CC
saying	VBG
to	IN
himself	PRP
‘	``
ca	MD
n’t	RB
curl	VB
,	,
but	CC
can	MD
swim	VB
slow	RB
-	HYPH
solid	RB
,	,
that	DT
is	VBZ
him	PRP
!	.
curls	VBZ
up	RP
,	,
but	CC
can	MD
not	RB
swim	VB
stickly	RB
-	HYPH
prickly	RB
,	,
that	DT
is	VBZ
him	PRP
!	.
’	''
‘	``
he	PRP
’ll	MD
never	RB
forget	VB
that	IN
this	DT
month	NN
of	IN
sundays	NNP
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
hold	VB
up	RP
my	PRP$
chin	NN
,	,
slow	RB
-	HYPH
and	CC
-	HYPH
solid	JJ
.	.
iam	PRP
going	VBG
to	TO
try	VB
to	TO
learn	VB
to	TO
swim	VB
.	.
it	PRP
may	MD
be	VB
useful	JJ
.	.
’	''
‘	``
excellent	JJ
!	.
’	''
said	VBD
slow	RB
-	HYPH
and	CC
-	HYPH
solid	JJ
;	:
and	CC
he	PRP
held	VBD
up	RP
stickly	RB
-	HYPH
prickly	NNP
’s	POS
chin	NN
,	,
while	IN
stickly	RB
-	HYPH
prickly	RB
kicked	VBD
in	IN
the	DT
waters	NNS
of	IN
the	DT
turbid	JJ
amazon	NNP
.	.
‘	``
you	PRP
’ll	MD
make	VB
a	DT
fine	JJ
swimmer	NN
yet	RB
,	,
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	NNP
.	.
‘	``
now	RB
,	,
if	IN
you	PRP
can	MD
unlace	VB
my	PRP$
back	NN
-	HYPH
plates	NNS
a	DT
little	JJ
,	,
i	PRP
will	MD
see	VB
what	WP
i	PRP
can	MD
do	VB
towards	IN
curling	VBG
up	RP
.	.
it	PRP
may	MD
be	VB
useful	JJ
.	.
’	''
stickly	RB
-	HYPH
prickly	RB
helped	VBD
to	TO
unlace	VB
tortoise	NN
’s	POS
back	NN
-	HYPH
plates	NNS
,	,
so	IN
that	IN
by	IN
twisting	VBG
and	CC
straining	VBG
slow	RB
-	HYPH
and	CC
-	HYPH
solid	RB
actually	RB
managed	VBD
to	TO
curl	VB
up	RP
a	DT
tiddy	JJ
wee	JJ
bit	NN
.	.
‘	``
excellent	JJ
!	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
;	:
‘	``
but	CC
i	PRP
should	MD
n’t	RB
do	VB
any	DT
more	JJR
just	RB
now	RB
.	.
it	PRP
is	VBZ
making	VBG
you	PRP
black	JJ
in	IN
the	DT
face	NN
.	.
kindly	RB
lead	VB
me	PRP
into	IN
the	DT
water	NN
once	RB
again	RB
and	CC
i	PRP
will	MD
practice	VB
that	DT
side	NN
-	HYPH
stroke	NN
which	WDT
you	PRP
say	VBP
is	VBZ
so	RB
easy	JJ
.	.
’	''
and	CC
so	RB
stickly	RB
-	HYPH
prickly	RB
practiced	VBN
,	,
and	CC
slow	RB
-	HYPH
solid	RB
swam	VBD
alongside	RB
.	.
‘	``
excellent	JJ
!	.
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	JJ
.	.
‘	``
a	DT
little	RB
more	JJR
practice	NN
will	MD
make	VB
you	PRP
a	DT
regular	JJ
whale	NN
.	.
now	RB
,	,
if	IN
i	PRP
may	MD
trouble	VB
you	PRP
to	TO
unlace	VB
my	PRP$
back	NN
and	CC
front	JJ
plates	NNS
two	CD
holes	NNS
more	RBR
,	,
i	PRP
will	MD
try	VB
that	DT
fascinating	JJ
bend	NN
that	IN
you	PRP
say	VBP
is	VBZ
so	RB
easy	JJ
.	.
wo	MD
n’t	RB
painted	VBN
jaguar	NNP
be	VB
surprised	JJ
!	.
’	''
‘	``
excellent	JJ
!	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
,	,
all	DT
wet	JJ
from	IN
the	DT
turbid	JJ
amazon	NNP
.	.
‘	``
i	PRP
declare	VBP
,	,
i	PRP
should	MD
n’t	RB
know	VB
you	PRP
from	IN
one	CD
of	IN
my	PRP$
own	JJ
family	NN
.	.
two	CD
holes	NNS
,	,
i	PRP
think	VBP
,	,
you	PRP
said	VBD
?	.
a	DT
little	JJ
more	JJR
expression	NN
,	,
please	UH
,	,
and	CC
do	VBP
not	RB
grunt	VB
quite	RB
so	RB
much	RB
,	,
or	CC
painted	VBN
jaguar	NNP
may	MD
hear	VB
us	PRP
.	.
when	WRB
youhave	PRP
finished	VBN
,	,
i	PRP
want	VBP
to	TO
try	VB
that	DT
long	JJ
dive	NN
which	WDT
you	PRP
say	VBP
is	VBZ
so	RB
easy	JJ
.	.
wo	MD
n’t	RB
painted	VBN
jaguar	NNP
be	VB
surprised	JJ
!	.
’	''
and	CC
so	RB
stickly	RB
-	HYPH
prickly	RB
dived	VBD
,	,
and	CC
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	NNP
dived	VBD
alongside	RB
.	.
‘	``
excellent	JJ
!	.
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	NNP
.	.
‘	``
a	DT
leetle	NN
more	JJR
attention	NN
to	IN
holding	VBG
your	PRP$
breath	NN
and	CC
you	PRP
will	MD
be	VB
able	JJ
to	TO
keep	VB
house	NN
at	IN
the	DT
bottom	NN
of	IN
the	DT
turbid	NNP
amazon	NNP
.	.
now	RB
i	PRP
will	MD
try	VB
that	DT
exercise	NN
of	IN
putting	VBG
my	PRP$
hind	JJ
legs	NNS
round	IN
my	PRP$
ears	NNS
which	WDT
you	PRP
say	VBP
is	VBZ
so	RB
peculiarly	RB
comfortable	JJ
.	.
wo	MD
n’t	RB
painted	VBN
jaguar	NNS
be	VB
surprised	JJ
!	.
’	''
‘	``
excellent	JJ
!	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
but	CC
it	PRP
’s	VBZ
straining	VBG
your	PRP$
back	NN
-	HYPH
plates	NNS
a	DT
little	JJ
.	.
they	PRP
are	VBP
all	DT
overlapping	VBG
now	RB
,	,
instead	RB
of	IN
lying	VBG
side	NN
by	IN
side	NN
.	.
’	''
‘	``
oh	UH
,	,
that	DT
is	VBZ
the	DT
result	NN
of	IN
exercise	NN
,	,
’	''
said	VBD
slow	NNP
-	HYPH
and	CC
-	HYPH
solid	NNP
.	.
‘	``
ihave	PRP
noticed	VBD
that	IN
your	PRP$
prickles	NNS
seem	VBP
to	TO
be	VB
melting	VBG
into	IN
one	CD
another	DT
,	,
and	CC
that	IN
you	PRP
’re	VBP
growing	VBG
to	TO
look	VB
rather	RB
more	JJR
like	IN
a	DT
pinecone	NN
,	,
and	CC
less	JJR
like	IN
a	DT
chestnut	NN
-	HYPH
burr	NN
,	,
than	IN
you	PRP
used	VBD
to	TO
.	.
’	''
‘	``
am	VBP
i	PRP
?	.
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
that	DT
comes	VBZ
from	IN
my	PRP$
soaking	NN
in	IN
the	DT
water	NN
.	.
oh	UH
,	,
will	MD
not	RB
painted	VBN
jaguar	NNP
be	VB
surprised	VBN
!	.
’	''
they	PRP
went	VBD
on	RP
with	IN
their	PRP$
exercises	NNS
,	,
each	DT
helping	VBG
the	DT
other	JJ
,	,
till	IN
morning	NN
came	VBD
;	:
and	CC
when	WRB
the	DT
sun	NN
was	VBD
high	JJ
they	PRP
rested	VBD
and	CC
dried	VBD
themselves	PRP
.	.
then	RB
they	PRP
saw	VBD
that	IN
they	PRP
were	VBD
both	DT
of	IN
them	PRP
quite	RB
different	JJ
from	IN
what	WP
they	PRP
had	VBD
been	VBN
.	.
‘	``
stickly	RB
-	HYPH
prickly	RB
,	,
’	''
said	VBD
tortoise	NNP
after	IN
breakfast	NN
,	,
‘	``
i	PRP
am	VBP
not	RB
what	WP
i	PRP
was	VBD
yesterday	NN
;	:
but	CC
i	PRP
think	VBP
that	IN
i	PRP
may	MD
yet	RB
amuse	VB
painted	VBN
jaguar	NNP
.	.
‘	``
that	DT
was	VBD
the	DT
very	JJ
thing	NN
i	PRP
was	VBD
thinking	VBG
just	RB
now	RB
,	,
’	''
said	VBD
stickly	RB
-	HYPH
prickly	RB
.	.
‘	``
i	PRP
think	VBP
scales	NNS
are	VBP
a	DT
tremendous	JJ
improvement	NN
on	IN
prickles	NNS
to	TO
say	VB
nothing	NN
of	IN
being	VBG
able	JJ
to	TO
swim	VB
.	.
oh	UH
,	,
will	MD
not	RB
painted	VBN
jaguar	NNP
be	VB
surprised	JJ
!	.
let	VB
’s	PRP
go	VB
and	CC
find	VB
him	PRP
.	.
’	''
by	RB
and	CC
by	IN
they	PRP
found	VBD
painted	VBN
jaguar	NNP
,	,
still	RB
nursing	VBG
his	PRP$
paddy	NN
-	HYPH
paw	NN
that	WDT
had	VBD
been	VBN
hurt	VBN
the	DT
night	NN
before	RB
.	.
he	PRP
was	VBD
so	RB
astonished	VBN
that	IN
he	PRP
fell	VBD
three	CD
