ye	UH
wilderness	NN
,	,
where	WRB
no	DT
man	NN
passes	VBZ
by	RP
?	.
our	PRP$
outward	JJ
life	NN
requires	VBZ
them	PRP
not	RB
,	,
then	RB
wherefore	WRB
had	VBD
they	PRP
birth	VB
?	.
to	TO
minister	VB
delight	NN
to	IN
man	NN
,	,
to	TO
beautify	VB
the	DT
earth	NN
;	:
to	TO
comfort	VB
man	NN
,	,
to	TO
whisper	VB
hope	NN
whene'er	PRP
his	PRP$
faith	NN
is	VBZ
dim	JJ
;	:
for	IN
whoso	WP
careth	VBP
for	IN
the	DT
flowers	NNS
will	MD
much	RB
more	RBR
care	VB
for	IN
him	PRP
.	.
mary	NNP
howitt	NNP
contented	VBD
john	NNP
one	CD
honest	JJ
john	NNP
tomkins	NNP
,	,
a	DT
hedger	NN
and	CC
ditcher	NN
,	,
although	IN
he	PRP
was	VBD
poor	JJ
,	,
did	VBD
not	RB
want	VB
to	TO
be	VB
richer	JJR
;	:
for	IN
all	DT
such	JJ
vain	JJ
wishes	NNS
in	IN
him	PRP
were	VBD
prevented	VBN
by	IN
a	DT
fortunate	JJ
habit	NN
of	IN
being	VBG
contented	JJ
.	.
though	IN
cold	JJ
was	VBD
the	DT
weather	NN
,	,
or	CC
dear	JJ
was	VBD
the	DT
food	NN
,	,
john	NNP
never	RB
was	VBD
found	VBN
in	IN
a	DT
murmuring	VBG
mood	NN
;	:
for	IN
this	DT
he	PRP
was	VBD
constantly	RB
heard	VBN
to	TO
declare	VB
,	,
what	WP
he	PRP
could	MD
not	RB
prevent	VB
he	PRP
would	MD
cheerfully	RB
bear	VB
.	.
"	``
for	CC
why	WRB
should	MD
i	PRP
grumble	VB
and	CC
murmur	VB
?	.
"	''
he	PRP
said	VBD
;	:
"	``
if	IN
i	PRP
can	MD
not	RB
get	VB
meat	NN
,	,
i	PRP
can	MD
surely	RB
get	VB
bread	NN
;	:
and	CC
,	,
though	IN
fretting	VBG
may	MD
make	VB
my	PRP$
calamities	NNS
deeper	JJR
,	,
it	PRP
can	MD
never	RB
cause	VB
bread	NN
and	CC
cheese	NN
to	TO
be	VB
cheaper	JJR
.	.
"	''
if	IN
john	NNP
was	VBD
afflicted	VBN
with	IN
sickness	NN
or	CC
pain	NN
,	,
he	PRP
wished	VBD
himself	PRP
better	JJR
,	,
but	CC
did	VBD
not	RB
complain	VB
,	,
nor	CC
lie	VB
down	RB
and	CC
fret	VB
in	IN
despondence	NN
and	CC
sorrow	NN
,	,
but	CC
said	VBD
that	IN
he	PRP
hoped	VBD
to	TO
be	VB
better	JJR
to	IN
-	HYPH
morrow	NN
.	.
if	IN
any	DT
one	PRP
wronged	VBD
him	PRP
or	CC
treated	VBD
him	PRP
ill	JJ
,	,
why	WRB
,	,
john	NNP
was	VBD
good	JJ
-	HYPH
natured	JJ
and	CC
sociable	JJ
still	RB
;	:
for	CC
he	PRP
said	VBD
that	IN
revenging	VBG
the	DT
injury	NN
done	VBN
would	MD
be	VB
making	VBG
two	CD
rogues	NNS
when	WRB
there	EX
need	MD
be	VB
but	RB
one	CD
,	,
and	CC
thus	RB
honest	JJ
john	NNP
,	,
though	IN
his	PRP$
station	NN
was	VBD
humble	JJ
,	,
passed	VBD
through	IN
this	DT
sad	JJ
world	NN
without	IN
even	RB
a	DT
grumble	NN
;	:
and	CC
i	PRP
wish	VBP
that	IN
some	DT
folks	NNS
,	,
who	WP
are	VBP
greater	JJR
and	CC
richer	JJR
,	,
would	MD
copy	VB
john	NNP
tomkins	NNP
,	,
the	DT
hedger	NN
and	CC
ditcher	NN
.	.
jane	NNP
taylor	NNP
the	DT
old	JJ
man	NN
's	POS
comforts	NNS
,	,
and	CC
how	WRB
he	PRP
gained	VBD
them	PRP
"	``
you	PRP
are	VBP
old	JJ
,	,
father	NNP
william	NNP
,	,
"	''
the	DT
young	JJ
man	NN
cried	VBD
;	:
"	``
the	DT
few	JJ
locks	NNS
which	WDT
are	VBP
left	VBN
you	PRP
are	VBP
gray	JJ
;	:
you	PRP
are	VBP
hale	JJ
,	,
father	NNP
william	NNP
a	DT
hearty	JJ
old	JJ
man	NN
now	RB
tell	VB
me	PRP
the	DT
reason	NN
,	,
i	PRP
pray	VBP
.	.
"	``
"	``
in	IN
the	DT
days	NNS
of	IN
my	PRP$
youth	NN
,	,
"	''
father	NNP
william	NNP
replied	VBD
,	,
"	``
i	PRP
remembered	VBD
that	IN
youth	NN
would	MD
fly	VB
fast	RB
,	,
and	CC
abused	VBD
not	RB
my	PRP$
health	NN
and	CC
my	PRP$
vigor	NN
at	IN
first	RB
,	,
that	IN
i	PRP
never	RB
might	MD
need	VB
them	PRP
at	IN
last	RB
.	.
"	''
"	``
you	PRP
are	VBP
old	JJ
,	,
father	NNP
william	NNP
,	,
"	''
the	DT
young	JJ
man	NN
cried	VBD
,	,
"	``
and	CC
pleasures	NNS
with	IN
youth	NN
pass	VBP
away	RB
;	:
and	CC
yet	RB
you	PRP
lament	VBP
not	RB
the	DT
days	NNS
that	WDT
are	VBP
gone	VBN
now	RB
tell	VB
me	PRP
the	DT
reason	NN
,	,
i	PRP
pray	VBP
.	.
"	''
"	``
in	IN
the	DT
days	NNS
of	IN
my	PRP$
youth	NN
,	,
"	''
father	NNP
william	NNP
replied	VBD
,	,
"	``
i	PRP
remembered	VBD
that	IN
youth	NN
could	MD
not	RB
last	VB
;	:
i	PRP
thought	VBD
of	IN
the	DT
future	NN
,	,
whatever	WDT
i	PRP
did	VBD
,	,
that	IN
i	PRP
never	RB
might	MD
grieve	VB
for	IN
the	DT
past	NN
.	.
"	''
"	``
you	PRP
are	VBP
old	JJ
,	,
father	NNP
william	NNP
,	,
"	''
the	DT
young	JJ
man	NN
cried	VBD
,	,
"	``
and	CC
life	NN
must	MD
be	VB
hastening	VBG
away	RB
;	:
you	PRP
are	VBP
cheerful	JJ
,	,
and	CC
love	VBP
to	TO
converse	VB
upon	IN
death	NN
now	RB
tell	VB
me	PRP
the	DT
reason	NN
,	,
i	PRP
pray	VBP
.	.
"	''
"	``
i	PRP
am	VBP
cheerful	JJ
,	,
young	JJ
man	NN
,	,
"	''
father	NNP
william	NNP
replied	VBD
;	:
"	``
let	VB
the	DT
cause	NN
thy	PRP$
attention	NN
engage	VB
in	IN
the	DT
days	NNS
of	IN
my	PRP$
youth	NN
i	PRP
remembered	VBD
my	PRP$
god	NNP
;	:
and	CC
he	PRP
hath	VBZ
not	RB
forgotten	VBN
my	PRP$
age	NN
.	.
"	''
robert	NNP
southey	NNP
the	DT
frost	NN
the	DT
frost	NN
looked	VBD
forth	RB
on	IN
a	DT
still	JJ
,	,
clear	JJ
night	NN
,	,
and	CC
whispered	VBD
,	,
"	``
now	RB
i	PRP
shall	MD
be	VB
out	IN
of	IN
sight	NN
;	:
so	CC
through	IN
the	DT
valley	NN
and	CC
over	IN
the	DT
height	NN
iwill	PRP
silently	RB
take	VB
my	PRP$
way	NN
.	.
i	PRP
will	MD
not	RB
go	VB
on	RB
like	IN
that	DT
blustering	VBG
train	NN
,	,
the	DT
wind	NN
and	CC
the	DT
snow	NN
,	,
the	DT
hail	NN
and	CC
the	DT
rain	NN
,	,
that	WDT
make	VBP
so	RB
much	JJ
bustle	NN
and	CC
noise	NN
in	IN
vain	NN
,	,
but	CC
iwill	PRP
be	VB
as	RB
busy	JJ
as	IN
they	PRP
!	.
"	''
he	PRP
flew	VBD
up	RB
,	,
and	CC
powdered	VBD
the	DT
mountain	NN
's	POS
crest	NN
;	:
he	PRP
lit	VBD
on	IN
the	DT
trees	NNS
,	,
and	CC
their	PRP$
boughs	NNS
he	PRP
dressed	VBD
with	IN
diamonds	NNS
and	CC
pearls	NNS
;	:
and	CC
over	IN
the	DT
breast	NN
of	IN
the	DT
quivering	VBG
lake	NN
he	PRP
spread	VBD
a	DT
bright	JJ
coat	NN
of	IN
mail	NN
,	,
that	IN
it	PRP
need	MD
not	RB
fear	VB
the	DT
glittering	VBG
point	NN
of	IN
many	PDT
a	DT
spear	NN
that	WDT
he	PRP
hung	VBD
on	IN
its	PRP$
margin	NN
,	,
far	RB
and	CC
near	RB
,	,
where	WRB
a	DT
rock	NN
was	VBD
rearing	VBG
its	PRP$
head	NN
.	.
he	PRP
went	VBD
to	IN
the	DT
windows	NNS
of	IN
those	DT
who	WP
slept	VBD
,	,
and	CC
over	IN
each	DT
pane	NN
,	,
like	IN
a	DT
fairy	NN
crept	VBD
;	:
wherever	WRB
he	PRP
breathed	VBD
wherever	WRB
he	PRP
stepped	VBD
most	RBS
beautiful	JJ
things	NNS
were	VBD
seen	VBN
by	IN
morning	NN
's	POS
first	JJ
light	NN
!	.
there	EX
were	VBD
flowers	NNS
and	CC
trees	NNS
,	,
with	IN
bevies	NNS
of	IN
birds	NNS
and	CC
swarms	NNS
of	IN
bright	JJ
bees	NNS
;	:
there	EX
were	VBD
cities	NNS
temples	NNS
,	,
and	CC
towers	NNS
;	:
and	CC
these	DT
,	,
all	DT
pictured	VBN
in	IN
silvery	JJ
sheen	NN
!	.
but	CC
one	CD
thing	NN
he	PRP
did	VBD
that	WDT
was	VBD
hardly	RB
fair	JJ
he	PRP
peeped	VBD
in	IN
the	DT
cupboard	NN
,	,
and	CC
finding	VBG
there	RB
that	IN
none	NN
had	VBD
remembered	VBN
for	IN
him	PRP
to	TO
prepare	VB
,	,
"	``
now	RB
,	,
just	RB
to	TO
set	VB
them	PRP
a	DT
-	HYPH
thinking	NN
,	,
iwill	PRP
bite	VB
their	PRP$
rich	JJ
basket	NN
of	IN
fruit	NN
,	,
"	''
said	VBD
he	PRP
,	,
"	``
this	DT
burly	JJ
old	JJ
pitcher	NN
iwill	PRP
burst	VB
it	PRP
in	IN
three	CD
!	.
and	CC
the	DT
glass	NN
with	IN
the	DT
water	NN
theyhave	PRP
left	VBN
for	IN
me	PRP
shall	MD
'	``
tchick	VB
!	.
'	''
to	TO
tell	VB
them	PRP
iam	PRP
drinking	VBG
!	.
"	''
hannah	NNP
flagg	NNP
gould	XX
the	DT
battle	NN
of	IN
blenheim	NNP
it	PRP
was	VBD
a	DT
summer	NN
evening	NN
,	,
old	JJ
kaspar	NNP
's	POS
work	NN
was	VBD
done	VBN
,	,
and	CC
he	PRP
before	IN
his	PRP$
cottage	NN
door	NN
was	VBD
sitting	VBG
in	IN
the	DT
sun	NN
,	,
and	CC
by	IN
him	PRP
sported	VBD
on	IN
the	DT
green	NN
his	PRP$
little	JJ
grandchild	NN
wilhelmine	NNP
.	.
she	PRP
saw	VBD
her	PRP$
brother	NN
peterkin	NNP
roll	VB
something	NN
large	JJ
and	CC
round	JJ
,	,
which	WDT
he	PRP
beside	IN
the	DT
rivulet	NN
in	IN
playing	VBG
there	RB
had	VBD
found	VBN
;	:
he	PRP
came	VBD
to	TO
ask	VB
what	WP
he	PRP
had	VBD
found	VBN
,	,
that	WDT
was	VBD
so	RB
large	JJ
and	CC
smooth	JJ
and	CC
round	JJ
.	.
old	JJ
kaspar	NNP
took	VBD
it	PRP
from	IN
the	DT
boy	NN
,	,
who	WP
stood	VBD
expectant	JJ
by	RB
;	:
and	CC
then	RB
the	DT
old	JJ
man	NN
shook	VBD
his	PRP$
head	NN
,	,
and	CC
with	IN
a	DT
natural	JJ
sigh	NN
,	,
"	``
'	``
t	PRP
is	VBZ
some	DT
poor	JJ
fellow	NN
's	POS
skull	NN
,	,
"	''
said	VBD
he	PRP
,	,
"	``
who	WP
fell	VBD
in	IN
the	DT
great	JJ
victory	NN
.	.
"	``
i	PRP
find	VBP
them	PRP
in	IN
the	DT
garden	NN
,	,
for	IN
there	EX
's	VBZ
many	JJ
hereabout	RB
;	:
and	CC
often	RB
,	,
when	WRB
i	PRP
go	VBP
to	TO
plow	VB
the	DT
plowshare	NN
turns	VBZ
them	PRP
out	RP
!	.
for	IN
many	JJ
thousand	CD
men	NNS
,	,
"	''
said	VBD
he	PRP
,	,
"	``
were	VBD
slain	VBN
in	IN
that	DT
great	JJ
victory	NN
.	.
"	''
"	``
now	RB
tell	VB
us	PRP
what	WP
'	PRP
t	PRP
was	VBD
all	RB
about	IN
,	,
"	''
young	JJ
peterkin	NNP
he	PRP
cries	VBZ
;	:
while	IN
little	JJ
wilhelmine	NNP
looks	VBZ
up	RP
with	IN
wonder	NN
-	HYPH
waiting	VBG
eyes	NNS
;	:
"	``
now	RB
tell	VB
us	PRP
all	RB
about	IN
the	DT
war	NN
,	,
and	CC
what	WP
they	PRP
killed	VBD
each	DT
other	JJ
for	IN
.	.
"	''
"	``
it	PRP
was	VBD
the	DT
english	NNP
,	,
"	''
kaspar	NNP
cried	VBD
,	,
"	``
who	WP
put	VBD
the	DT
french	NNPS
to	IN
rout	VB
;	:
but	CC
what	WP
they	PRP
killed	VBD
each	DT
other	JJ
for	IN
i	PRP
could	MD
not	RB
well	RB
make	VB
out	RP
.	.
but	CC
everybody	NN
said	VBD
,	,
"	''
quoth	XX
he	PRP
,	,
"	``
that	IN
'	PRP
t	NNP
was	VBD
a	DT
famous	JJ
victory	NN
.	.
"	''
my	PRP$
father	NN
lived	VBD
at	IN
blenheim	NNP
then	RB
,	,
yon	PRP
little	JJ
stream	NN
hard	RB
by	RB
;	:
they	PRP
burnt	VBD
his	PRP$
dwelling	NN
to	IN
the	DT
ground	NN
,	,
and	CC
he	PRP
was	VBD
forced	VBN
to	TO
fly	VB
so	RB
with	IN
his	PRP$
wife	NN
and	CC
child	NN
he	PRP
fled	VBD
,	,
nor	CC
had	VBD
he	PRP
where	WRB
to	TO
rest	VB
his	PRP$
head	NN
.	.
"	``
with	IN
fire	NN
and	CC
sword	NN
the	DT
country	NN
round	NN
was	VBD
wasted	VBN
far	RB
and	CC
wide	RB
,	,
and	CC
many	PDT
a	DT
childing	VBG
mother	NN
then	RB
and	CC
new	RB
-	HYPH
born	VBN
baby	NN
died	VBD
but	CC
things	NNS
like	IN
that	DT
,	,
you	PRP
know	VBP
,	,
must	MD
be	VB
at	IN
every	DT
famous	JJ
victory	NN
.	.
"	``
they	PRP
say	VBP
it	PRP
was	VBD
a	DT
shocking	JJ
sight	NN
after	IN
the	DT
field	NN
was	VBD
won	VBN
;	:
for	IN
many	JJ
thousand	CD
bodies	NNS
here	RB
lay	VBD
rotting	VBG
in	IN
the	DT
sun	NN
but	CC
things	NNS
like	IN
that	DT
,	,
you	PRP
know	VBP
,	,
must	MD
be	VB
after	IN
a	DT
famous	JJ
victory	NN
.	.
"	``
great	JJ
praise	NN
the	DT
duke	NNP
of	IN
marlbro	NNP
'	POS
won	VBD
,	,
and	CC
our	PRP$
good	JJ
prince	NNP
eugene	NNP
.	.
"	``
"	``
why	WRB
'	PRP
t	PRP
was	VBD
a	DT
very	RB
wicked	JJ
thing	NN
!	.
"	''
said	VBD
little	JJ
wilhelmine	NNP
.	.
"	``
nay	UH
nay	UH
my	PRP$
little	JJ
girl	NN
,	,
"	''
quoth	XX
he	PRP
,	,
"	``
it	PRP
was	VBD
a	DT
famous	JJ
victory	NN
.	.
"	''
and	CC
everybody	NN
praised	VBD
the	DT
duke	NN
who	WP
this	DT
great	JJ
fight	NN
did	VBD
win	VB
.	.
"	``
"	``
and	CC
what	WP
good	NN
came	VBD
of	IN
it	PRP
at	IN
last	RB
?	.
"	''
quoth	VBD
little	JJ
peterkin	NNP
.	.
"	``
why	WRB
,	,
that	IN
i	PRP
can	MD
not	RB
tell	VB
,	,
"	''
said	VBD
he	PRP
,	,
"	``
but	CC
'	PRP
t	PRP
was	VBD
a	DT
famous	JJ
victory	NN
.	.
"	''
robert	NNP
southey	NNP
the	DT
chameleon	NN
a	DT
fable	NN
from	IN
m.	NNP
de	NNP
lamotte	NNP
oft	RB
has	VBZ
it	PRP
been	VBN
my	PRP$
lot	NN
to	TO
mark	VB
a	DT
proud	JJ
,	,
conceited	JJ
,	,
talking	VBG
spark	NN
,	,
with	IN
eyes	NNS
,	,
that	WDT
hardly	RB
served	VBD
at	IN
most	RBS
to	TO
guard	VB
their	PRP$
master	NN
'	POS
gainst	IN
a	DT
post	NN
;	:
yet	CC
round	IN
the	DT
world	NN
the	DT
blade	NN
has	VBZ
been	VBN
to	TO
see	VB
whatever	WDT
could	MD
be	VB
seen	VBN
,	,
returning	VBG
from	IN
his	PRP$
finished	JJ
tour	NN
,	,
grown	VBN
ten	CD
times	NNS
perter	JJR
than	IN
before	RB
;	:
whatever	WDT
word	NN
you	PRP
chance	NN
to	TO
drop	VB
,	,
the	DT
traveled	VBN
fool	NN
your	PRP$
mouth	NN
will	MD
stop	VB
"	``
sir	NN
,	,
if	IN
my	PRP$
judgment	NN
you	PRP
will	MD
allow	VB
,	,
ihave	PRP
seen	VBN
and	CC
sure	JJ
i	PRP
ought	MD
to	TO
know	VB
,	,
"	''
so	RB
begs	VBZ
youhad	PRP
or	CC
would	MD
pay	VB
a	DT
due	JJ
submission	NN
,	,
and	CC
acquiesce	VB
in	IN
his	PRP$
decision	NN
.	.
two	CD
travelers	NNS
of	IN
such	JJ
a	DT
cast	NN
,	,
as	IN
over	IN
arabia	NNP
's	POS
wilds	NNS
they	PRP
passed	VBD
and	CC
on	IN
their	PRP$
way	NN
in	IN
friendly	JJ
chat	NN
,	,
now	RB
talked	VBD
of	IN
this	DT
,	,
and	CC
then	RB
of	IN
that	DT
,	,
discoursed	VBD
awhile	RB
,	,
'	XX
mongst	IN
other	JJ
matter	NN
.	.
of	IN
the	DT
chameleon	NN
's	POS
form	NN
and	CC
nature	NN
.	.
"	``
a	DT
stranger	JJR
animal	NN
,	,
"	''
cries	VBZ
one	CD
,	,
"	``
sure	RB
never	RB
lived	VBD
beneath	IN
the	DT
sun	NN
.	.
a	DT
lizard	NN
's	POS
body	NN
,	,
lean	JJ
and	CC
long	JJ
,	,
a	DT
fish	NN
's	POS
head	NN
,	,
a	DT
serpent	NN
's	POS
tongue	NN
,	,
its	PRP$
foot	NN
with	IN
triple	JJ
claw	NN
disjoined	VBN
;	:
and	CC
what	WP
a	DT
length	NN
of	IN
tail	NN
behind	RB
!	.
how	WRB
slow	JJ
its	PRP$
pace	NN
;	:
and	CC
then	RB
its	PRP$
hue	NN
who	WP
ever	RB
saw	VBD
so	RB
fine	JJ
a	DT
blue	NN
?	.
"	``
"	``
hold	VB
,	,
there	RB
,	,
"	''
the	DT
other	JJ
quick	JJ
replies	VBZ
,	,
"	``
'	XX
t	PRP
is	VBZ
green	JJ
,	,
i	PRP
saw	VBD
it	PRP
with	IN
these	DT
eyes	NNS
,	,
as	RB
late	RB
with	IN
open	JJ
mouth	NN
it	PRP
lay	VBD
,	,
and	CC
warmed	VBD
it	PRP
in	IN
the	DT
sunny	JJ
ray	NN
stretched	VBN
at	IN
its	PRP$
ease	NN
,	,
the	DT
beast	NN
i	PRP
viewed	VBD
and	CC
saw	VBD
it	PRP
eat	VB
the	DT
air	NN
for	IN
food	NN
.	.
"	``
"	``
ihave	PRP
seen	VBN
it	PRP
,	,
sir	NNP
,	,
as	RB
well	RB
as	IN
you	PRP
,	,
and	CC
must	MD
again	RB
affirm	VB
it	PRP
blue	JJ
;	:
at	IN
leisure	NN
i	PRP
the	DT
beast	NN
surveyed	VBD
,	,
extending	VBG
in	IN
the	DT
cooling	VBG
shade	NN
.	.
"	``
"	``
'	PRP
t	PRP
is	VBZ
green	JJ
,	,
'	PRP
t	PRP
is	VBZ
green	JJ
,	,
sir	NNP
i	PRP
assure	VBP
ye	PRP
!	.
"	''
"	``
green	JJ
!	.
"	''
cries	VBZ
the	DT
other	JJ
in	IN
a	DT
fury	NN
"	``
why	WRB
,	,
sir	NN
!	.
do	VBP
you	PRP
think	VB
ihave	PRP
lost	VBN
my	PRP$
eyes	NNS
?	.
"	''
"	``
'	PRP
t	PRP
were	VBD
no	DT
great	JJ
loss	NN
,	,
"	''
the	DT
friend	NN
replies	VBZ
,	,
"	``
for	IN
,	,
if	IN
they	PRP
always	RB
serve	VBP
you	PRP
thus	RB
,	,
youwill	PRP
find	VB
them	PRP
of	IN
but	CC
little	JJ
use	NN
.	.
"	''
so	RB
high	RB
at	IN
last	RB
the	DT
contest	NN
rose	VBD
,	,
from	IN
words	NNS
they	PRP
almost	RB
came	VBD
to	IN
blows	NNS
;	:
when	WRB
luckily	RB
came	VBD
by	IN
a	DT
third	JJ
to	IN
him	PRP
the	DT
question	NN
they	PRP
referred	VBD
,	,
and	CC
begged	VBD
hehad	PRP
or	CC
would	MD
tell	VB
'em	PRP
,	,
if	IN
he	PRP
knew	VBD
,	,
whether	IN
the	DT
thing	NN
was	VBD
green	JJ
or	CC
blue	JJ
.	.
"	``
sirs	NNS
,	,
"	''
cries	VBZ
the	DT
umpire	NN
,	,
"	``
cease	VB
your	PRP$
pother	NN
!	.
the	DT
creature	NN
's	VBZ
neither	CC
one	CD
nor	CC
t	PRP
'	''
other	JJ
.	.
i	PRP
caught	VBD
the	DT
animal	NN
last	JJ
night	NN
,	,
and	CC
viewed	VBD
it	PRP
over	RP
by	IN
candlelight	NN
i	PRP
marked	VBD
it	PRP
well	RB
'	XX
t	XX
was	VBD
black	JJ
as	IN
jet	NN
you	PRP
stare	VBP
but	CC
sirs	NNS
,	,
ihave	PRP
got	VBN
it	PRP
yet	RB
,	,
and	CC
can	MD
produce	VB
it	PRP
.	.
"	''
"	``
pray	VB
,	,
sir	NN
,	,
do	VBP
iwill	PRP
lay	VB
my	PRP$
life	NN
the	DT
thing	NN
is	VBZ
blue	JJ
.	.
"	''
"	``
and	CC
iwill	MD
be	VB
sworn	VBN
,	,
that	IN
when	WRB
youhave	PRP
seen	VBN
the	DT
reptile	NN
,	,
you	PRP
will	MD
pronounce	VB
him	PRP
green	JJ
.	.
"	''
"	``
well	UH
,	,
then	RB
,	,
at	IN
once	RB
to	TO
ease	VB
the	DT
doubt	NN
,	,
"	''
replies	VBZ
the	DT
man	NN
,	,
"	``
iwill	PRP
turn	VB
him	PRP
out	RP
and	CC
when	WRB
before	IN
your	PRP$
eyes	NNS
ihave	PRP
set	VBN
him	PRP
,	,
if	IN
you	PRP
do	VBP
n't	RB
find	VB
him	PRP
black	JJ
,	,
iwill	PRP
eat	VB
him	PRP
.	.
"	''
he	PRP
said	VBD
then	RB
full	JJ
before	IN
their	PRP$
sight	NN
produced	VBD
the	DT
beast	NN
,	,
and	CC
lo	UH
!	.
'	PRP
t	PRP
was	VBD
white	JJ
.	.
both	DT
stared	VBD
,	,
the	DT
man	NN
looked	VBD
wondrous	JJ
wise	JJ
"	``
my	PRP$
children	NNS
,	,
"	''
the	DT
chameleon	NN
cries	VBZ
,	,
(	-LRB-
then	RB
first	RB
the	DT
creature	NN
found	VBD
a	DT
tongue	NN
,	,
)	-RRB-
"	''
you	PRP
are	VBP
all	RB
right	JJ
,	,
and	CC
all	DT
are	VBP
wrong	JJ
when	WRB
next	RB
you	PRP
talk	VBP
of	IN
what	WP
you	PRP
view	VBP
,	,
think	VB
others	NNS
see	VBP
as	RB
well	RB
as	IN
you	PRP
;	:
nor	CC
wonder	VB
,	,
if	IN
you	PRP
find	VBP
that	IN
none	NN
prefers	VBZ
your	PRP$
eyesight	NN
to	IN
his	PRP$
own	JJ
.	.
"	''
james	NNP
merrick	NNP
the	DT
blackberry	NN
girl	NN
"	``
why	WRB
,	,
phebe	NNP
,	,
are	VBP
you	PRP
come	VB
so	RB
soon	RB
?	.
where	WRB
are	VBP
your	PRP$
berries	NNS
,	,
child	NN
?	.
you	PRP
can	MD
not	RB
,	,
sure	JJ
,	,
have	VB
sold	VBN
them	PRP
all	DT
,	,
you	PRP
had	VBD
a	DT
basket	NN
piled	VBN
.	.
"	''
"	``
no	UH
,	,
mother	NN
,	,
as	IN
i	PRP
climbed	VBD
the	DT
fence	NN
,	,
the	DT
nearest	JJS
way	NN
to	IN
town	NN
,	,
my	PRP$
apron	NN
caught	VBN
upon	IN
the	DT
stake	NN
,	,
and	CC
so	RB
i	PRP
tumbled	VBD
down	RB
.	.
"	''
i	PRP
scratched	VBD
my	PRP$
arm	NN
and	CC
tore	VBD
my	PRP$
hair	NN
,	,
but	CC
still	RB
did	VBD
not	RB
complain	VB
;	:
and	CC
had	VBD
my	PRP$
blackberries	NNS
been	VBN
safe	JJ
,	,
should	MD
not	RB
have	VB
cared	VBN
a	DT
grain	NN
.	.
"	``
but	CC
when	WRB
i	PRP
saw	VBD
them	PRP
on	IN
the	DT
ground	NN
.	.
all	DT
scattered	VBN
by	IN
my	PRP$
side	NN
,	,
i	PRP
picked	VBD
my	PRP$
empty	JJ
basket	NN
up	RP
,	,
and	CC
down	RB
i	PRP
sat	VBD
and	CC
cried	VBD
.	.
"	``
just	RB
then	RB
a	DT
pretty	JJ
little	JJ
miss	NN
chanced	VBD
to	TO
be	VB
walking	VBG
by	RB
;	:
she	PRP
stopped	VBD
,	,
and	CC
looking	VBG
pitiful	JJ
,	,
she	PRP
begged	VBD
me	PRP
not	RB
to	TO
cry	VB
.	.
"	``
'	``
poor	JJ
little	JJ
girl	NN
,	,
you	PRP
fell	VBD
,	,
'	''
said	VBD
she	PRP
,	,
'	``
and	CC
must	MD
be	VB
sadly	RB
hurt	VBN
;	:
'	``
'	``
oh	UH
,	,
no	UH
,	,
'	''
i	PRP
cried	VBD
;	:
'	``
but	CC
see	VB
my	PRP$
fruit	NN
,	,
all	DT
mixed	VBN
with	IN
sand	NN
and	CC
dirt	NN
.	.
'	''
"	``
'	``
well	UH
,	,
do	VBP
not	RB
grieve	VB
for	IN
that	DT
,	,
'	''
she	PRP
said	VBD
;	:
'	``
go	VB
home	RB
,	,
and	CC
get	VB
some	DT
more	JJR
,	,
'	''
'	XX
ah	UH
