oh	UH
hands	NNS
free	JJ
.	.
she	PRP
cried	VBD
herself	PRP
to	IN
sleep	NN
,	,
and	CC
when	WRB
she	PRP
woke	VBD
the	DT
bag	NN
was	VBD
gone	VBN
.	.
no	DT
one	NN
had	VBD
seen	VBN
it	PRP
;	:
but	CC
she	PRP
told	VBD
her	PRP$
mamma	NN
about	IN
the	DT
cake	NN
,	,
and	CC
promised	VBD
not	RB
to	TO
do	VB
so	RB
any	DT
more	RBR
.	.
"	``
now	RB
this	DT
shall	MD
be	VB
a	DT
truly	RB
good	JJ
day	NN
,	,
every	DT
bit	NN
of	IN
it	PRP
,	,
"	''
she	PRP
said	VBD
,	,
as	IN
she	PRP
skipped	VBD
away	RB
,	,
feeling	VBG
as	RB
light	JJ
as	IN
a	DT
feather	NN
after	IN
she	PRP
had	VBD
confessed	VBN
her	PRP$
little	JJ
sins	NNS
.	.
"	``
it	PRP
is	VBZ
a	DT
good	JJ
punishment	NN
for	IN
me	PRP
,	,
and	CC
i	PRP
deserve	VBP
it	PRP
.	.
i	PRP
wo	MD
n't	RB
cry	VB
,	,
but	CC
i	PRP
will	MD
i	PRP
will	MD
remember	VB
.	.
"	''
and	CC
may	MD
said	VBD
her	PRP$
prayers	NNS
very	RB
soberly	RB
,	,
really	RB
meaning	VBG
to	TO
keep	VB
her	PRP$
word	NN
this	DT
time	NN
.	.
all	DT
the	DT
next	JJ
day	NN
she	PRP
was	VBD
very	RB
careful	JJ
to	TO
keep	VB
her	PRP$
lips	NNS
from	IN
cross	JJ
words	NNS
,	,
her	PRP$
hands	NNS
from	IN
forbidden	JJ
things	NNS
,	,
and	CC
her	PRP$
feet	NNS
from	IN
going	VBG
wrong	JJ
.	.
nothing	NN
spoilt	VBN
this	DT
day	NN
,	,
she	PRP
watched	VBD
so	RB
well	RB
;	:
and	CC
when	WRB
mamma	NN
gave	VBD
the	DT
good	JJ
-	HYPH
night	NN
kiss	NN
,	,
she	PRP
said	VBD
,	,
"	``
what	WP
shall	MD
i	PRP
give	VB
my	PRP$
good	JJ
little	JJ
daughter	NN
,	,
who	WP
has	VBZ
been	VBN
gentle	JJ
,	,
obedient	JJ
,	,
and	CC
busy	JJ
all	DT
day	NN
?	.
"	''
"	``
i	PRP
want	VBP
a	DT
white	JJ
kitty	NN
,	,
with	IN
blue	JJ
eyes	NNS
,	,
and	CC
a	DT
pink	JJ
ribbon	NN
on	IN
its	PRP$
neck	NN
,	,
"	''
answered	VBD
may	NNP
.	.
"	``
iwill	PRP
try	VB
and	CC
find	VB
one	CD
.	.
now	RB
go	VB
to	IN
bed	NN
,	,
deary	JJ
,	,
and	CC
happy	JJ
dreams	NNS
!	.
"	''
said	VBD
mamma	NNP
,	,
with	IN
many	JJ
kisses	NNS
on	IN
the	DT
rosy	JJ
cheeks	NNS
,	,
and	CC
the	DT
smile	NN
that	WDT
was	VBD
a	DT
reward	NN
.	.
may	NNP
was	VBD
so	RB
busy	JJ
thinking	VBG
about	IN
the	DT
kitty	NN
and	CC
the	DT
good	JJ
day	NN
that	IN
she	PRP
forgot	VBD
the	DT
box	NN
till	IN
she	PRP
heard	VBD
a	DT
little	JJ
"	``
mew	UH
,	,
mew	NN
!	.
"	''
under	IN
her	PRP$
pillow	NN
.	.
"	``
mercy	JJ
me	PRP
!	.
what	WP
's	VBZ
that	DT
?	.
"	''
and	CC
she	PRP
popped	VBD
up	RP
her	PRP$
head	NN
to	TO
see	VB
.	.
"	``
i	PRP
suppose	VBP
that	IN
darling	JJ
kit	NN
will	MD
be	VB
gone	VBN
like	IN
all	PDT
the	DT
other	JJ
things	NNS
,	,
"	''
said	VBD
may	NNP
,	,
as	IN
she	PRP
waked	VBD
up	RP
and	CC
looked	VBD
round	RB
for	IN
her	PRP$
first	JJ
pretty	JJ
gift	NN
.	.
no	UH
;	:
there	EX
was	VBD
the	DT
lovely	JJ
thing	NN
sitting	VBG
in	IN
the	DT
sun	NN
among	IN
the	DT
flower	NN
-	HYPH
pots	NNS
,	,
washing	VBG
her	PRP$
face	NN
and	CC
getting	VBG
ready	JJ
for	IN
play	NN
.	.
what	WDT
a	DT
fine	JJ
frolic	NN
they	PRP
had	VBD
;	:
and	CC
how	WRB
surprised	JJ
every	DT
one	PRP
was	VBD
to	TO
see	VB
just	RB
the	DT
pussy	NN
may	PRP
wanted	VBD
!	.
they	PRP
supposed	VBD
it	PRP
came	VBD
as	IN
kitties	NNS
often	RB
come	VBP
;	:
and	CC
may	MD
never	RB
told	VBD
them	PRP
it	PRP
was	VBD
a	DT
fairy	NN
present	NN
,	,
because	IN
she	PRP
had	VBD
promised	VBN
not	RB
to	TO
.	.
she	PRP
was	VBD
so	RB
happy	JJ
with	IN
little	JJ
puss	NN
that	IN
she	PRP
was	VBD
good	JJ
all	DT
day	NN
;	:
and	CC
when	WRB
she	PRP
went	VBD
to	IN
bed	NN
she	PRP
thought	VBD
,	,
"	``
i	PRP
wish	VBP
i	PRP
had	VBD
a	DT
dog	NN
to	TO
play	VB
with	IN
darling	JJ
snowdrop	NNP
,	,
and	CC
run	VB
with	IN
me	PRP
when	WRB
i	PRP
go	VBP
to	TO
walk	VB
.	.
"	''
"	``
bow	NNP
,	,
wow	UH
,	,
wow	UH
!	.
"	''
came	VBD
from	IN
under	IN
the	DT
pillow	NN
;	:
and	CC
out	IN
of	IN
the	DT
box	NN
trotted	VBD
a	DT
curly	JJ
black	JJ
dog	NN
,	,
with	IN
long	JJ
ears	NNS
,	,
a	DT
silver	JJ
collar	NN
,	,
and	CC
such	JJ
bright	JJ
,	,
kind	JJ
eyes	NNS
may	NNP
was	VBD
not	RB
a	DT
bit	NN
afraid	JJ
of	IN
him	PRP
,	,
but	CC
loved	VBD
him	PRP
at	IN
once	RB
,	,
and	CC
named	VBD
him	PRP
floss	NNP
,	,
he	PRP
was	VBD
so	RB
soft	JJ
and	CC
silky	JJ
.	.
pussy	NNP
liked	VBD
him	PRP
too	RB
;	:
and	CC
when	WRB
may	NNP
was	VBD
sleepy	JJ
they	PRP
both	DT
snuggled	VBD
down	RP
in	IN
the	DT
same	JJ
basket	NN
like	IN
two	CD
good	JJ
babies	NNS
,	,
and	CC
went	VBD
to	IN
by	NNP
-	HYPH
low	NNP
.	.
"	``
well	UH
,	,
i	PRP
never	RB
!	.
what	WP
shall	MD
we	PRP
find	VB
next	RB
?	.
"	''
said	VBD
nurse	NNP
,	,
when	WRB
she	PRP
saw	VBD
the	DT
dog	NN
in	IN
the	DT
morning	NN
.	.
"	``
perhaps	RB
it	PRP
will	MD
be	VB
an	DT
elephant	NN
,	,
to	TO
fill	VB
the	DT
whole	JJ
house	NN
,	,
and	CC
scare	VB
you	PRP
out	IN
of	IN
your	PRP$
wits	NNS
,	,
"	''
laughed	VBD
may	NNP
,	,
dancing	VBG
about	RB
with	IN
snowdrop	NN
chasing	VBG
her	PRP$
bare	JJ
toes	NNS
,	,
while	IN
floss	NNP
shook	VBD
and	CC
growled	VBD
over	IN
her	PRP$
shoes	NNS
as	IN
if	IN
they	PRP
were	VBD
rats	NNS
.	.
"	``
if	IN
your	PRP$
cousin	NN
john	NNP
wants	VBZ
to	TO
give	VB
you	PRP
any	DT
more	JJR
animals	NNS
,	,
i	PRP
wish	VBP
hehad	PRP
or	CC
would	MD
send	VB
a	DT
pony	NN
to	TO
take	VB
you	PRP
to	IN
school	NN
,	,
and	CC
save	VB
my	PRP$
old	JJ
legs	NNS
the	DT
pain	NN
of	IN
trotting	VBG
after	IN
you	PRP
,	,
"	''
said	VBD
nurse	NNP
;	:
for	CC
may	NNP
did	VBD
have	VB
a	DT
rich	JJ
cousin	NN
who	WP
was	VBD
very	RB
fond	JJ
of	IN
her	PRP
,	,
and	CC
often	RB
gave	VBD
her	PRP
nice	JJ
things	NNS
.	.
"	``
perhaps	RB
he	PRP
will	MD
,	,
"	''
laughed	VBD
may	NNP
,	,
much	RB
tickled	VBN
with	IN
the	DT
idea	NN
that	IN
it	PRP
was	VBD
a	DT
fairy	NN
,	,
and	CC
not	RB
cousin	NN
john	NNP
,	,
who	WP
sent	VBD
the	DT
cunning	JJ
little	JJ
creatures	NNS
to	IN
her	PRP
.	.
but	CC
she	PRP
did	VBD
n't	RB
get	VB
the	DT
pony	NN
that	DT
night	NN
;	:
for	IN
in	IN
the	DT
afternoon	NN
her	PRP$
mother	NN
told	VBD
her	PRP
not	RB
to	TO
sit	VB
on	IN
the	DT
lawn	NN
,	,
because	IN
it	PRP
was	VBD
damp	JJ
,	,
and	CC
may	MD
did	VBD
not	RB
mind	VB
,	,
being	VBG
busy	JJ
with	IN
a	DT
nice	JJ
story	NN
.	.
so	RB
when	WRB
she	PRP
took	VBD
up	RP
her	PRP$
box	NN
,	,
a	DT
loud	JJ
sneeze	NN
seemed	VBD
to	TO
blow	VB
the	DT
lid	NN
off	RP
,	,
and	CC
all	DT
she	PRP
saw	VBD
was	VBD
a	DT
bit	NN
of	IN
red	JJ
flannel	NN
.	.
"	``
what	WP
is	VBZ
this	DT
for	IN
?	.
"	''
she	PRP
asked	VBD
,	,
much	RB
disappointed	JJ
;	:
and	CC
as	IN
if	IN
to	TO
answer	VB
,	,
the	DT
strip	NN
of	IN
flannel	NN
wrapped	VBD
itself	PRP
round	IN
her	PRP$
neck	NN
.	.
"	``
there	RB
!	.
my	PRP$
throat	NN
is	VBZ
sore	JJ
,	,
and	CC
i	PRP
am	VBP
hoarse	JJ
.	.
i	PRP
wonder	VBP
how	WRB
that	DT
fairy	NN
knew	VBD
i	PRP
sat	VBD
on	IN
the	DT
damp	JJ
grass	NN
.	.
iam	PRP
so	RB
sorry	JJ
;	:
for	IN
i	PRP
did	VBD
want	VB
a	DT
pony	NN
,	,
and	CC
might	MD
have	VB
had	VBN
it	PRP
if	IN
ihad	PRP
or	CC
would	MD
only	RB
minded	VB
,	,
"	''
said	VBD
may	NNP
,	,
angry	JJ
with	IN
herself	PRP
for	IN
spoiling	VBG
all	DT
her	PRP$
fun	NN
.	.
it	PRP
was	VBD
spoilt	JJ
;	:
for	IN
she	PRP
had	VBD
such	PDT
a	DT
cold	NN
next	JJ
day	NN
she	PRP
could	MD
n't	RB
go	VB
out	RB
at	RB
all	RB
,	,
but	CC
had	VBD
to	TO
take	VB
medicine	NN
and	CC
keep	VB
by	IN
the	DT
fire	NN
,	,
while	IN
the	DT
other	JJ
children	NNS
had	VBD
a	DT
lovely	JJ
picnic	NN
.	.
"	``
i	PRP
wo	MD
n't	RB
wish	VB
for	IN
anything	NN
to	IN
-	HYPH
night	NN
;	:
i	PRP
do	VBP
n't	RB
deserve	VB
a	DT
present	NN
,	,
i	PRP
was	VBD
so	RB
disobedient	JJ
.	.
but	CC
i	PRP
have	VBP
tried	VBN
to	TO
be	VB
patient	JJ
,	,
"	''
said	VBD
may	NNP
,	,
feeling	VBG
for	IN
the	DT
box	NN
.	.
the	DT
fairy	NN
had	VBD
not	RB
forgotten	VBN
her	PRP
,	,
and	CC
there	EX
was	VBD
a	DT
beautiful	JJ
picture	NN
-	HYPH
book	NN
,	,
full	JJ
of	IN
new	JJ
,	,
nice	JJ
stories	NNS
printed	VBN
in	IN
colored	JJ
ink	NN
.	.
"	``
how	WRB
splendid	JJ
to	TO
read	VB
to	IN
-	HYPH
morrow	NN
while	IN
iam	PRP
shut	VBN
up	RP
!	.
"	''
she	PRP
said	VBD
,	,
and	CC
went	VBD
to	IN
sleep	NN
very	RB
happily	RB
.	.
all	DT
the	DT
next	JJ
day	NN
she	PRP
enjoyed	VBD
the	DT
pretty	JJ
pictures	NNS
and	CC
funny	JJ
tales	NNS
,	,
and	CC
never	RB
complained	VBD
or	CC
fretted	VBD
at	RB
all	RB
,	,
but	CC
was	VBD
so	RB
much	RB
better	JJR
the	DT
doctor	NN
said	VBD
she	PRP
could	MD
go	VB
out	RB
to	IN
-	HYPH
morrow	NN
,	,
if	IN
it	PRP
was	VBD
fine	JJ
.	.
"	``
now	RB
i	PRP
will	MD
wish	VB
for	IN
the	DT
pony	NN
,	,
"	''
said	VBD
may	NNP
,	,
in	IN
her	PRP$
bed	NN
.	.
but	CC
there	EX
was	VBD
nothing	NN
in	IN
the	DT
box	NN
except	IN
a	DT
little	JJ
red	JJ
-	HYPH
silk	NN
rope	NN
,	,
like	IN
a	DT
halter	NN
.	.
she	PRP
did	VBD
not	RB
know	VB
what	WP
to	TO
do	VB
with	IN
it	PRP
that	DT
night	NN
,	,
but	CC
she	PRP
did	VBD
the	DT
next	JJ
morning	NN
;	:
for	IN
just	RB
as	IN
she	PRP
was	VBD
dressed	VBN
her	PRP$
brother	NN
called	VBD
from	IN
the	DT
garden	NN
,	,
"	``
may	MD
,	,
look	VB
out	RP
and	CC
see	VB
what	WP
we	PRP
found	VBD
in	IN
the	DT
stable	NN
.	.
none	NN
of	IN
us	PRP
can	MD
catch	VB
him	PRP
,	,
so	CC
do	VB
come	VB
and	CC
see	VB
if	IN
you	PRP
can	MD
;	:
your	PRP$
name	NN
is	VBZ
on	IN
the	DT
card	NN
tied	VBN
to	IN
his	PRP$
mane	NN
.	.
"	''
may	NNP
looked	VBD
,	,
and	CC
there	EX
was	VBD
a	DT
snow	NN
-	HYPH
white	JJ
pony	NN
racing	VBG
about	IN
the	DT
yard	NN
as	IN
if	IN
he	PRP
was	VBD
having	VBG
a	DT
fine	JJ
frolic	NN
.	.
then	RB
she	PRP
knew	VBD
the	DT
halter	NN
was	VBD
for	IN
him	PRP
,	,
and	CC
ran	VBD
down	RB
to	TO
catch	VB
him	PRP
.	.
the	DT
minute	NN
she	PRP
appeared	VBD
,	,
the	DT
pony	NN
went	VBD
to	IN
her	PRP
and	CC
put	VBD
his	PRP$
nose	NN
in	IN
her	PRP$
hand	NN
,	,
neighing	VBG
,	,
as	IN
if	IN
he	PRP
said	VBD
,	,
"	``
this	DT
is	VBZ
my	PRP$
little	JJ
mistress	NN
;	:
i	PRP
will	MD
mind	VB
her	PRP
and	CC
serve	VB
her	PRP
well	RB
.	.
"	''
"	``
iwill	PRP
wish	VB
for	IN
something	NN
for	IN
will	XX
now	RB
,	,
and	CC
see	VB
if	IN
i	PRP
get	VBP
it	PRP
.	.
i	PRP
do	VBP
n't	RB
want	VB
any	DT
more	JJR
presents	NNS
yet	RB
;	:
ihave	PRP
had	VBN
my	PRP$
share	NN
,	,
and	CC
ihad	VBD
or	CC
would	MD
love	VB
to	TO
give	VB
away	RP
to	IN
other	JJ
people	NNS
who	WP
have	VBP
no	DT
fairy	NN
box	NN
.	.
"	''
so	RB
she	PRP
wished	VBD
for	IN
a	DT
nice	JJ
boat	NN
,	,
and	CC
in	IN
the	DT
box	NN
lay	VBD
a	DT
key	NN
with	IN
the	DT
name	NN
"	``
water	NN
lily	NN
"	''
on	IN
it	PRP
.	.
she	PRP
guessed	VBD
what	WP
it	PRP
meant	VBD
,	,
and	CC
in	IN
the	DT
morning	NN
told	VBD
her	PRP$
brother	NN
to	TO
come	VB
to	IN
the	DT
river	NN
and	CC
see	VB
what	WP
she	PRP
had	VBD
for	IN
him	PRP
.	.
there	RB
lay	VBD
a	DT
pretty	JJ
green	JJ
and	CC
white	JJ
boat	NN
,	,
with	IN
cushioned	JJ
seats	NNS
,	,
a	DT
sail	NN
all	DT
spread	VBN
,	,
and	CC
at	IN
the	DT
mast	NN
-	HYPH
head	NN
a	DT
little	JJ
flag	NN
flying	VBG
in	IN
the	DT
wind	NN
,	,
with	IN
the	DT
words	NNS
"	``
water	NN
lily	NN
"	''
on	IN
it	PRP
in	IN
gold	JJ
letters	NNS
.	.
will	NNP
was	VBD
so	RB
surprised	JJ
and	CC
pleased	JJ
to	TO
find	VB
that	IN
it	PRP
was	VBD
his	PRP$
,	,
he	PRP
turned	VBD
heels	NNS
over	IN
head	NN
on	IN
the	DT
grass	NN
,	,
kissed	VBD
may	NNP
,	,
and	CC
skipped	VBD
into	IN
his	PRP$
boat	NN
,	,
crying	VBG
,	,
"	``
all	RB
aboard	RB
!	.
"	''
as	IN
if	IN
eager	JJ
to	TO
try	VB
it	PRP
at	IN
once	RB
.	.
may	NNP
followed	VBD
,	,
and	CC
they	PRP
sailed	VBD
away	RB
down	IN
the	DT
lovely	JJ
river	NN
,	,
white	JJ
with	IN
real	JJ
lilies	NNS
,	,
while	IN
the	DT
blackbirds	NNS
sang	VBD
in	IN
the	DT
green	JJ
meadows	NNS
on	IN
either	DT
side	NN
,	,
and	CC
boys	NNS
and	CC
girls	NNS
stopped	VBD
on	IN
the	DT
bridges	NNS
to	TO
see	VB
them	PRP
pass	VB
.	.
after	IN
that	DT
may	NNP
kept	VBD
on	RP
trying	VBG
to	TO
be	VB
good	JJ
,	,
and	CC
wishing	VBG
for	IN
things	NNS
for	IN
herself	PRP
and	CC
other	JJ
people	NNS
,	,
till	IN
she	PRP
forgot	VBD
how	WRB
to	TO
be	VB
naughty	JJ
,	,
and	CC
was	VBD
the	DT
sweetest	JJS
little	JJ
girl	NN
in	IN
the	DT
world	NN
.	.
then	RB
there	EX
was	VBD
no	DT
need	NN
of	IN
fairies	NNS
to	TO
help	VB
her	PRP
;	:
and	CC
one	CD
night	NN
the	DT
box	NN
was	VBD
not	RB
under	IN
the	DT
pillow	NN
.	.
"	``
well	UH
,	,
ihave	PRP
had	VBN
my	PRP$
share	NN
of	IN
pretty	JJ
things	NNS
,	,
and	CC
must	MD
learn	VB
to	TO
do	VB
without	RB
.	.
iam	VB
glad	JJ
i	PRP
tried	VBD
;	:
for	IN
now	RB
it	PRP
is	VBZ
easy	JJ
to	TO
be	VB
good	JJ
,	,
and	CC
i	PRP
do	VBP
n't	RB
need	VB
to	TO
be	VB
rewarded	VBN
,	,
"	''
said	VBD
may	MD
,	,
as	IN
she	PRP
fell	VBD
asleep	RB
,	,
quite	RB
happy	JJ
and	CC
contented	JJ
,	,
though	IN
she	PRP
did	VBD
wish	VB
she	PRP
could	MD
have	VB
seen	VBN
the	DT
fairy	NN
just	RB
once	RB
.	.
next	JJ
morning	NN
the	DT
first	JJ
thing	NN
she	PRP
saw	VBD
was	VBD
a	DT
beautiful	JJ
bracelet	NN
,	,
shining	VBG
on	IN
the	DT
table	NN
;	:
and	CC
while	IN
she	PRP
stood	VBD
admiring	VBG
it	PRP
,	,
she	PRP
heard	VBD
the	DT
little	JJ
voice	NN
sing	VB
,	,
"	``
here	RB
is	VBZ
the	DT
bracelet	NN
for	IN
good	JJ
little	JJ
may	NNP
to	TO
wear	VB
on	IN
her	PRP$
arm	NN
by	IN
night	NN
and	CC
by	IN
day	NN
.	.
when	WRB
it	PRP
shines	VBZ
like	IN
the	DT
sun	NN
,	,
all	DT
's	VBZ
going	VBG
well	RB
;	:
but	CC
when	WRB
you	PRP
are	VBP
bad	JJ
,	,
a	DT
sharp	JJ
prick	NN
will	MD
tell	VB
.	.
farewell	UH
,	,
little	JJ
girl	NN
,	,
for	IN
now	RB
we	PRP
must	MD
part	VB
.	.
make	VB
a	DT
fairy	NN
-	HYPH
box	NN
,	,
dear	NN
,	,
of	IN
your	PRP$
own	JJ
happy	JJ
heart	NN
;	:
and	CC
take	VB
out	RP
for	IN
all	DT
sweet	JJ
gifts	NNS
every	DT
day	NN
,	,
till	IN
all	PDT
the	DT
year	NN
round	RB
is	VBZ
like	IN
beautiful	JJ
may	NNP
.	.
"	''
as	IN
the	DT
last	JJ
words	NNS
were	VBD
sung	VBN
,	,
right	RB
before	IN
her	PRP$
eyes	NNS
she	PRP
saw	VBD
a	DT
tiny	JJ
creature	NN
swinging	VBG
on	IN
the	DT
rose	NN
that	WDT
stood	VBD
there	RB
in	IN
a	DT
vase	NN
,	,
a	DT
lovely	JJ
elf	NN
,	,
with	IN
wings	NNS
like	IN
a	DT
butterfly	NN
,	,
a	DT
gauzy	JJ
dress	NN
,	,
and	CC
a	DT
star	NN
on	IN
her	PRP$
forehead	NN
.	.
