how	WRB
"	``
what	WP
was	VBD
it	PRP
?	.
if	IN
she	PRP
is	VBZ
alive	JJ
,	,
she	PRP
is	VBZ
somewhere	RB
.	.
"	``
"	``
yes	UH
;	:
she	PRP
is	VBZ
somewhere	RB
.	.
we	PRP
have	VBP
searched	VBN
the	DT
schools	NNS
in	IN
paris	NNP
.	.
let	VB
us	PRP
give	VB
up	RP
paris	NNP
and	CC
begin	VB
in	IN
london	NNP
.	.
that	DT
was	VBD
my	PRP$
idea	NN
to	TO
search	VB
london	NNP
.	.
"	``
"	``
there	EX
are	VBP
schools	NNS
enough	JJ
in	IN
london	NNP
,	,
"	''
said	VBD
mr	NNP
.	NNP
carrisford	NNP
.	.
then	RB
he	PRP
slightly	RB
started	VBD
,	,
roused	VBN
by	IN
a	DT
recollection	NN
.	.
"	``
by	IN
the	DT
way	NN
,	,
there	EX
is	VBZ
one	CD
next	JJ
door	NN
.	.
"	``
"	``
then	RB
we	PRP
will	MD
begin	VB
there	RB
.	.
we	PRP
can	MD
not	RB
begin	VB
nearer	RBR
than	IN
next	JJ
door	NN
.	.
"	``
"	``
no	UH
,	,
"	''
said	VBD
carrisford	NNP
.	.
"	``
there	EX
is	VBZ
a	DT
child	NN
there	RB
who	WP
interests	VBZ
me	PRP
;	:
but	CC
she	PRP
is	VBZ
not	RB
a	DT
pupil	NN
.	.
and	CC
she	PRP
is	VBZ
a	DT
little	JJ
dark	JJ
,	,
forlorn	JJ
creature	NN
,	,
as	RB
unlike	JJ
poor	JJ
crewe	NNP
as	IN
a	DT
child	NN
could	MD
be	VB
.	.
"	''
perhaps	RB
the	DT
magic	NN
was	VBD
at	IN
work	NN
again	RB
at	IN
that	DT
very	JJ
moment	NN
the	DT
beautiful	JJ
magic	NN
.	.
it	PRP
really	RB
seemed	VBD
as	IN
if	IN
it	PRP
might	MD
be	VB
so	RB
.	.
what	WP
was	VBD
it	PRP
that	WDT
brought	VBD
ram	NNP
dass	NNP
into	IN
the	DT
room	NN
even	RB
as	IN
his	PRP$
master	NN
spoke	VBD
salaaming	VBG
respectfully	RB
,	,
but	CC
with	IN
a	DT
scarcely	RB
concealed	VBN
touch	NN
of	IN
excitement	NN
in	IN
his	PRP$
dark	JJ
,	,
flashing	VBG
eyes	NNS
?	.
"	``
sahib	NNP
,	,
"	''
he	PRP
said	VBD
,	,
"	``
the	DT
child	NN
herself	PRP
has	VBZ
come	VBN
the	DT
child	NN
the	DT
sahib	NNP
felt	VBD
pity	NN
for	IN
.	.
she	PRP
brings	VBZ
back	RB
the	DT
monkey	NN
who	WP
had	VBD
again	RB
run	VBN
away	RB
to	IN
her	PRP$
attic	NN
under	IN
the	DT
roof	NN
.	.
i	PRP
have	VBP
asked	VBN
that	IN
she	PRP
remain	VB
.	.
it	PRP
was	VBD
my	PRP$
thought	NN
that	IN
it	PRP
would	MD
please	VB
the	DT
sahib	NNP
to	TO
see	VB
and	CC
speak	VB
with	IN
her	PRP
.	.
"	``
"	``
who	WP
is	VBZ
she	PRP
?	.
"	''
inquired	VBD
mr	NNP
.	NNP
carmichael	NNP
.	.
"	``
god	NNP
knows	VBZ
,	,
"	''
mr	NNP
.	NNP
carrrisford	NNP
answered	VBD
.	.
"	``
she	PRP
is	VBZ
the	DT
child	NN
i	PRP
spoke	VBD
of	IN
.	.
a	DT
little	JJ
drudge	NN
at	IN
the	DT
school	NN
.	.
"	''
he	PRP
waved	VBD
his	PRP$
hand	NN
to	IN
ram	NNP
dass	NNP
,	,
and	CC
addressed	VBD
him	PRP
.	.
"	``
yes	UH
,	,
i	PRP
should	MD
like	VB
to	TO
see	VB
her	PRP
.	.
go	VB
and	CC
bring	VB
her	PRP
in	RB
.	.
"	''
then	RB
he	PRP
turned	VBD
to	IN
mr	NNP
.	NNP
carmichael	NNP
.	.
"	``
while	IN
you	PRP
have	VBP
been	VBN
away	RB
,	,
"	''
he	PRP
explained	VBD
,	,
"	``
i	PRP
have	VBP
been	VBN
desperate	JJ
.	.
the	DT
days	NNS
were	VBD
so	RB
dark	JJ
and	CC
long	JJ
.	.
ram	NNP
dass	NNP
told	VBD
me	PRP
of	IN
this	DT
child	NN
's	POS
miseries	NNS
,	,
and	CC
together	RB
we	PRP
invented	VBD
a	DT
romantic	JJ
plan	NN
to	TO
help	VB
her	PRP
.	.
i	PRP
suppose	VBP
it	PRP
was	VBD
a	DT
childish	JJ
thing	NN
to	TO
do	VB
;	:
but	CC
it	PRP
gave	VBD
me	PRP
something	NN
to	TO
plan	VB
and	CC
think	VB
of	IN
.	.
without	IN
the	DT
help	NN
of	IN
an	DT
agile	JJ
,	,
soft	JJ
-	HYPH
footed	JJ
oriental	NNP
like	IN
ram	NNP
dass	NNP
,	,
however	RB
,	,
it	PRP
could	MD
not	RB
have	VB
been	VBN
done	VBN
.	.
"	``
then	RB
sara	NNP
came	VBD
into	IN
the	DT
room	NN
.	.
she	PRP
carried	VBD
the	DT
monkey	NN
in	IN
her	PRP$
arms	NNS
,	,
and	CC
he	PRP
evidently	RB
did	VBD
not	RB
intend	VB
to	TO
part	VB
from	IN
her	PRP
,	,
if	IN
it	PRP
could	MD
be	VB
helped	VBN
.	.
he	PRP
was	VBD
clinging	VBG
to	IN
her	PRP
and	CC
chattering	VBG
,	,
and	CC
the	DT
interesting	JJ
excitement	NN
of	IN
finding	VBG
herself	PRP
in	IN
the	DT
indian	JJ
gentleman	NN
's	POS
room	NN
had	VBD
brought	VBN
a	DT
flush	NN
to	IN
sara	NNP
's	POS
cheeks	NNS
.	.
"	``
your	PRP$
monkey	NN
ran	VBD
away	RB
again	RB
,	,
"	''
she	PRP
said	VBD
,	,
in	IN
her	PRP$
pretty	JJ
voice	NN
.	.
"	``
he	PRP
came	VBD
to	IN
my	PRP$
garret	NN
window	NN
last	JJ
night	NN
,	,
and	CC
i	PRP
took	VBD
him	PRP
in	RP
because	IN
it	PRP
was	VBD
so	RB
cold	JJ
.	.
i	PRP
would	MD
have	VB
brought	VBN
him	PRP
back	RB
if	IN
it	PRP
had	VBD
not	RB
been	VBN
so	RB
late	JJ
.	.
i	PRP
knew	VBD
you	PRP
were	VBD
ill	JJ
and	CC
might	MD
not	RB
like	VB
to	TO
be	VB
disturbed	VBN
.	.
"	''
the	DT
indian	JJ
gentleman	NN
's	POS
hollow	JJ
eyes	NNS
dwelt	VBD
on	IN
her	PRP
with	IN
curious	JJ
interest	NN
.	.
"	``
that	DT
was	VBD
very	RB
thoughtful	JJ
of	IN
you	PRP
,	,
"	''
he	PRP
said	VBD
.	.
sara	NNP
looked	VBD
toward	IN
ram	NNP
dass	NNP
,	,
who	WP
stood	VBD
near	IN
the	DT
door	NN
.	.
"	``
shall	MD
i	PRP
give	VB
him	PRP
to	IN
the	DT
lascar	NN
?	.
"	''
she	PRP
asked	VBD
.	.
"	``
how	WRB
do	VBP
you	PRP
know	VB
he	PRP
is	VBZ
a	DT
lascar	NNP
?	.
"	''
said	VBD
the	DT
indian	JJ
gentleman	NN
,	,
smiling	VBG
a	DT
little	JJ
.	.
"	``
oh	UH
,	,
i	PRP
know	VBP
lascars	NNPS
,	,
"	''
sara	NNP
said	VBD
,	,
handing	VBG
over	RP
the	DT
reluctant	JJ
monkey	NN
.	.
"	``
i	PRP
was	VBD
born	VBN
in	IN
india	NNP
.	.
"	''
the	DT
indian	JJ
gentleman	NN
sat	VBD
upright	RB
so	RB
suddenly	RB
,	,
and	CC
with	IN
such	PDT
a	DT
change	NN
of	IN
expression	NN
,	,
that	IN
she	PRP
was	VBD
for	IN
a	DT
moment	NN
quite	RB
startled	JJ
.	.
"	``
you	PRP
were	VBD
born	VBN
in	IN
india	NNP
,	,
"	''
he	PRP
exclaimed	VBD
,	,
"	``
were	VBD
you	PRP
?	.
come	VB
here	RB
.	.
"	''
and	CC
he	PRP
held	VBD
out	RP
his	PRP$
hand	NN
.	.
sara	NNP
went	VBD
to	IN
him	PRP
and	CC
laid	VBD
her	PRP$
hand	NN
in	IN
his	PRP
,	,
as	IN
he	PRP
seemed	VBD
to	TO
want	VB
to	TO
take	VB
it	PRP
.	.
she	PRP
stood	VBD
still	RB
,	,
and	CC
her	PRP$
green	JJ
-	HYPH
gray	JJ
eyes	NNS
met	VBD
his	PRP$
wonderingly	RB
.	.
something	NN
seemed	VBD
to	TO
be	VB
the	DT
matter	NN
with	IN
him	PRP
.	.
"	``
you	PRP
live	VBP
next	JJ
door	NN
?	.
"	''
he	PRP
demanded	VBD
.	.
"	``
yes	UH
;	:
i	PRP
live	VBP
at	IN
miss	NNP
minchin	NNP
's	POS
seminary	NN
.	.
"	``
"	``
but	CC
you	PRP
are	VBP
not	RB
one	CD
of	IN
her	PRP$
pupils	NNS
?	.
"	''
a	DT
strange	JJ
little	JJ
smile	NN
hovered	VBD
about	IN
sara	NNP
's	POS
mouth	NN
.	.
she	PRP
hesitated	VBD
a	DT
moment	NN
.	.
"	``
i	PRP
do	VBP
n't	RB
think	VB
i	PRP
know	VBP
exactly	RB
what	WP
i	PRP
am	VBP
,	,
"	''
she	PRP
replied	VBD
.	.
"	``
why	WRB
not	RB
?	.
"	''
"	``
at	IN
first	RB
i	PRP
was	VBD
a	DT
pupil	NN
,	,
and	CC
a	DT
parlor	NN
boarder	NN
;	:
but	CC
now	RB
"	``
"	``
you	PRP
were	VBD
a	DT
pupil	NN
!	.
what	WP
are	VBP
you	PRP
now	RB
?	.
"	''
the	DT
queer	JJ
little	JJ
sad	JJ
smile	NN
was	VBD
on	IN
sara	NNP
's	POS
lips	NNS
again	RB
.	.
"	``
i	PRP
sleep	VBP
in	IN
the	DT
attic	NN
,	,
next	RB
to	IN
the	DT
scullery	JJ
maid	NN
,	,
"	''
she	PRP
said	VBD
.	.
"	``
i	PRP
run	VBP
errands	NNS
for	IN
the	DT
cook	NN
i	PRP
do	VBP
anything	NN
she	PRP
tells	VBZ
me	PRP
;	:
and	CC
i	PRP
teach	VBP
the	DT
little	JJ
ones	NNS
their	PRP$
lessons	NNS
.	.
"	''
"	``
question	VB
her	PRP
,	,
carmichael	NNP
,	,
"	''
said	VBD
mr	NNP
.	NNP
carrisford	NNP
,	,
sinking	VBG
back	RB
as	IN
if	IN
he	PRP
had	VBD
lost	VBN
his	PRP$
strength	NN
.	.
"	``
question	VB
her	PRP
;	:
i	PRP
can	MD
not	RB
.	.
"	''
the	DT
big	JJ
,	,
kind	JJ
father	NN
of	IN
the	DT
large	JJ
family	NN
knew	VBD
how	WRB
to	TO
question	VB
little	JJ
girls	NNS
.	.
sara	NNP
realized	VBD
how	WRB
much	JJ
practice	NN
he	PRP
had	VBD
had	VBN
when	WRB
he	PRP
spoke	VBD
to	IN
her	PRP
in	IN
his	PRP$
nice	JJ
,	,
encouraging	JJ
voice	NN
.	.
"	``
what	WP
do	VBP
you	PRP
mean	VB
by	IN
'	``
at	IN
first	RB
,	,
'	''
my	PRP$
child	NN
?	.
"	''
he	PRP
inquired	VBD
.	.
"	``
when	WRB
i	PRP
was	VBD
first	RB
taken	VBN
there	RB
by	IN
my	PRP$
papa	NN
.	.
"	``
"	``
where	WRB
is	VBZ
your	PRP$
papa	NN
?	.
"	``
"	``
he	PRP
died	VBD
,	,
"	''
said	VBD
sara	NNP
,	,
very	RB
quietly	RB
.	.
"	``
he	PRP
lost	VBD
all	PDT
his	PRP$
money	NN
and	CC
there	EX
was	VBD
none	NN
left	VBN
for	IN
me	PRP
.	.
there	EX
was	VBD
no	DT
one	NN
to	TO
take	VB
care	NN
of	IN
me	PRP
or	CC
to	TO
pay	VB
miss	NNP
minchin	NNP
.	.
"	''
"	``
carmichael	NNP
!	.
"	''
the	DT
indian	JJ
gentleman	NN
cried	VBD
out	RP
loudly	RB
.	.
"	``
carmichael	NNP
!	.
"	''
"	``
we	PRP
must	MD
not	RB
frighten	VB
her	PRP
,	,
"	''
mr	NNP
.	NNP
carmichael	NNP
said	VBD
aside	RB
to	IN
him	PRP
in	IN
a	DT
quick	JJ
,	,
low	JJ
voice	NN
.	.
and	CC
he	PRP
added	VBD
aloud	RB
to	IN
sara	NNP
,	,
"	``
so	RB
you	PRP
were	VBD
sent	VBN
up	RP
into	IN
the	DT
attic	NN
,	,
and	CC
made	VBN
into	IN
a	DT
little	JJ
drudge	NN
.	.
that	DT
was	VBD
about	IN
it	PRP
,	,
was	VBD
n't	RB
it	PRP
?	.
"	''
"	``
there	EX
was	VBD
no	DT
one	NN
to	TO
take	VB
care	NN
of	IN
me	PRP
,	,
"	''
said	VBD
sara	NNP
.	.
"	``
there	EX
was	VBD
no	DT
money	NN
;	:
i	PRP
belong	VBP
to	IN
nobody	NN
.	.
"	``
"	``
how	WRB
did	VBD
your	PRP$
father	NN
lose	VB
his	PRP$
money	NN
?	.
"	''
the	DT
indian	JJ
gentleman	NN
broke	VBD
in	RP
breathlessly	RB
.	.
"	``
he	PRP
did	VBD
not	RB
lose	VB
it	PRP
himself	PRP
,	,
"	''
sara	NNP
answered	VBD
,	,
wondering	VBG
still	RB
more	RBR
each	DT
moment	NN
.	.
"	``
he	PRP
had	VBD
a	DT
friend	NN
he	PRP
was	VBD
very	RB
fond	JJ
of	IN
he	PRP
was	VBD
very	RB
fond	JJ
of	IN
him	PRP
.	.
it	PRP
was	VBD
his	PRP$
friend	NN
who	WP
took	VBD
his	PRP$
money	NN
.	.
he	PRP
trusted	VBD
his	PRP$
friend	NN
too	RB
much	RB
.	.
"	``
the	DT
indian	JJ
gentleman	NN
's	POS
breath	NN
came	VBD
more	RBR
quickly	RB
.	.
"	``
the	DT
friend	NN
might	MD
have	VB
meant	VBN
to	TO
do	VB
no	DT
harm	NN
,	,
"	''
he	PRP
said	VBD
.	.
"	``
it	PRP
might	MD
have	VB
happened	VBN
through	IN
a	DT
mistake	NN
.	.
"	''
sara	NNP
did	VBD
not	RB
know	VB
how	WRB
unrelenting	JJ
her	PRP$
quiet	JJ
young	JJ
voice	NN
sounded	VBD
as	IN
she	PRP
answered	VBD
.	.
if	IN
she	PRP
had	VBD
known	VBN
,	,
she	PRP
would	MD
surely	RB
have	VB
tried	VBN
to	TO
soften	VB
it	PRP
for	IN
the	DT
indian	JJ
gentleman	NN
's	POS
sake	NN
.	.
"	``
the	DT
suffering	NN
was	VBD
just	RB
as	RB
bad	JJ
for	IN
my	PRP$
papa	NN
,	,
"	''
she	PRP
said	VBD
.	.
"	``
it	PRP
killed	VBD
him	PRP
.	.
"	``
"	``
what	WP
was	VBD
your	PRP$
father	NN
's	POS
name	NN
?	.
"	''
the	DT
indian	JJ
gentleman	NN
said	VBD
.	.
"	``
tell	VB
me	PRP
.	.
"	''
"	``
his	PRP$
name	NN
was	VBD
ralph	NNP
crewe	NNP
,	,
"	''
sara	NNP
answered	VBD
,	,
feeling	VBG
startled	JJ
.	.
"	``
captain	NNP
crewe	NNP
.	.
he	PRP
died	VBD
in	IN
india	NNP
.	.
"	``
the	DT
haggard	JJ
face	NN
contracted	VBD
,	,
and	CC
ram	NNP
dass	NNP
sprang	VBD
to	IN
his	PRP$
master	NN
's	POS
side	NN
.	.
"	``
carmichael	NNP
,	,
"	''
the	DT
invalid	NN
gasped	VBD
,	,
"	``
it	PRP
is	VBZ
the	DT
child	NN
the	DT
child	NN
!	.
"	''
for	IN
a	DT
moment	NN
sara	NNP
thought	VBD
he	PRP
was	VBD
going	VBG
to	TO
die	VB
.	.
ram	NNP
dass	NNP
poured	VBD
out	RP
drops	NNS
from	IN
a	DT
bottle	NN
,	,
and	CC
held	VBD
them	PRP
to	IN
his	PRP$
lips	NNS
.	.
sara	NNP
stood	VBD
near	RB
,	,
trembling	VBG
a	DT
little	JJ
.	.
she	PRP
looked	VBD
in	IN
a	DT
bewildered	JJ
way	NN
at	IN
mr	NNP
.	NNP
carmichael	NNP
.	.
"	``
what	WP
child	NN
am	VBP
i	PRP
?	.
"	''
she	PRP
faltered	VBD
.	.
"	``
he	PRP
was	VBD
your	PRP$
father	NN
's	POS
friend	NN
,	,
"	''
mr	NNP
.	NNP
carmichael	NNP
answered	VBD
her	PRP
.	.
"	``
do	VB
n't	RB
be	VB
frightened	VBN
.	.
we	PRP
have	VBP
been	VBN
looking	VBG
for	IN
you	PRP
for	IN
two	CD
years	NNS
.	.
"	''
sara	NNP
put	VBD
her	PRP$
hand	NN
up	IN
to	IN
her	PRP$
forehead	NN
,	,
and	CC
her	PRP$
mouth	NN
trembled	VBD
.	.
she	PRP
spoke	VBD
as	IN
if	IN
she	PRP
were	VBD
in	IN
a	DT
dream	NN
.	.
"	``
and	CC
i	PRP
was	VBD
at	IN
miss	NNP
minchin	NNP
's	POS
all	PDT
the	DT
while	NN
,	,
"	''
she	PRP
half	RB
whispered	VBD
.	.
"	``
just	RB
on	IN
the	DT
other	JJ
side	NN
of	IN
the	DT
wall	NN
.	.
"	''
18	CD
"	``
i	PRP
tried	VBD
not	RB
to	TO
be	VB
"	''
it	PRP
was	VBD
pretty	JJ
,	,
comfortable	JJ
mrs	NNP
.	NNP
carmichael	NNP
who	WP
explained	VBD
everything	NN
.	.
she	PRP
was	VBD
sent	VBN
for	IN
at	IN
once	RB
,	,
and	CC
came	VBD
across	IN
the	DT
square	NN
to	TO
take	VB
sara	NNP
into	IN
her	PRP$
warm	JJ
arms	NNS
and	CC
make	VB
clear	JJ
to	IN
her	PRP
all	DT
that	WDT
had	VBD
happened	VBN
.	.
the	DT
excitement	NN
of	IN
the	DT
totally	RB
unexpected	JJ
discovery	NN
had	VBD
been	VBN
temporarily	RB
almost	RB
overpowering	VBG
to	IN
mr	NNP
.	NNP
carrisford	NNP
in	IN
his	PRP$
weak	JJ
condition	NN
.	.
"	``
upon	IN
my	PRP$
word	NN
,	,
"	''
he	PRP
said	VBD
faintly	RB
to	IN
mr	NNP
.	NNP
carmichael	NNP
,	,
when	WRB
it	PRP
was	VBD
suggested	VBN
that	IN
the	DT
little	JJ
girl	NN
should	MD
go	VB
into	IN
another	DT
room	NN
.	.
"	``
i	PRP
feel	VBP
as	IN
if	IN
i	PRP
do	VBP
not	RB
want	VB
to	TO
lose	VB
sight	NN
of	IN
her	PRP
.	.
"	''
"	``
i	PRP
will	MD
take	VB
care	NN
of	IN
her	PRP
,	,
"	''
janet	NNP
said	VBD
,	,
"	``
and	CC
mamma	NNP
will	MD
come	VB
in	IN
a	DT
few	JJ
minutes	NNS
.	.
"	''
and	CC
it	PRP
was	VBD
janet	NNP
who	WP
led	VBD
her	PRP
away	RB
.	.
"	``
weare	VBP
so	RB
glad	JJ
you	PRP
are	VBP
found	VBN
,	,
"	''
she	PRP
said	VBD
.	.
"	``
you	PRP
do	VBP
n't	RB
know	VB
how	WRB
glad	JJ
we	PRP
are	VBP
that	IN
you	PRP
are	VBP
found	VBN
.	.
"	''
donald	NNP
stood	VBD
with	IN
his	PRP$
hands	NNS
in	IN
his	PRP$
pockets	NNS
,	,
and	CC
gazed	VBD
at	IN
sara	NNP
with	IN
reflecting	VBG
and	CC
self	NN
-	HYPH
reproachful	JJ
eyes	NNS
.	.
"	``
if	IN
ihad	PRP
or	CC
would	MD
just	RB
asked	VBN
what	WP
your	PRP$
name	NN
was	VBD
when	WRB
i	PRP
gave	VBD
you	PRP
my	PRP$
sixpence	NN
,	,
"	''
he	PRP
said	VBD
,	,
"	``
you	PRP
would	MD
have	VB
told	VBD
me	PRP
it	PRP
was	VBD
sara	NNP
crewe	NNP
,	,
and	CC
then	RB
you	PRP
would	MD
have	VB
been	VBN
found	VBN
in	IN
a	DT
minute	NN
.	.
"	''
then	RB
mrs	NNP
.	NNP
carmichael	NNP
came	VBD
in	RB
.	.
she	PRP
looked	VBD
very	RB
much	RB
moved	VBN
,	,
and	CC
suddenly	RB
took	VBD
sara	NNP
in	IN
her	PRP$
arms	NNS
and	CC
kissed	VBD
her	PRP
.	.
"	``
you	PRP
look	VBP
bewildered	JJ
,	,
poor	JJ
child	NN
,	,
"	''
she	PRP
said	VBD
.	.
"	``
and	CC
it	PRP
is	VBZ
not	RB
to	TO
be	VB
wondered	VBN
at	IN
.	.
"	''
sara	NNP
could	MD
only	RB
think	VB
of	IN
one	CD
thing	NN
.	.
"	``
was	VBD
he	PRP
,	,
"	''
she	PRP
said	VBD
,	,
with	IN
a	DT
glance	NN
toward	IN
the	DT
closed	JJ
door	NN
of	IN
the	DT
library	NN
"	``
was	VBD
he	PRP
the	DT
wicked	JJ
friend	NN
?	.
oh	UH
,	,
do	VB
tell	VB
me	PRP
!	.
"	''
mrs	NNP
.	NNP
carmichael	NNP
was	VBD
crying	VBG
as	IN
she	PRP
kissed	VBD
her	PRP
again	RB
.	.
she	PRP
felt	VBD
as	IN
if	IN
she	PRP
ought	MD
to	TO
be	VB
kissed	VBN
very	RB
often	RB
because	IN
she	PRP
had	VBD
not	RB
been	VBN
kissed	VBN
for	IN
so	RB
long	RB
.	.
"	``
he	PRP
was	VBD
not	RB
wicked	JJ
,	,
my	PRP$
dear	NN
,	,
"	''
she	PRP
answered	VBD
.	.
"	``
he	PRP
did	VBD
not	RB
really	RB
lose	VB
your	PRP$
papa	NN
's	POS
money	NN
.	.
he	PRP
only	RB
thought	VBD
he	PRP
had	VBD
lost	VBN
it	PRP
;	:
and	CC
because	IN
he	PRP
loved	VBD
him	PRP
so	RB
much	RB
his	PRP$
grief	NN
made	VBD
him	PRP
so	RB
ill	JJ
that	IN
for	IN
a	DT
time	NN
he	PRP
was	VBD
not	RB
in	IN
his	PRP$
right	JJ
mind	NN
.	.
he	PRP
almost	RB
died	VBD
of	IN
brain	NN
fever	NN
,	,
and	CC
long	RB
before	IN
he	PRP
began	VBD
to	TO
recover	VB
your	PRP$
poor	JJ
papa	NN
was	VBD
dead	JJ
.	.
"	``
"	``
and	CC
he	PRP
did	VBD
not	RB
know	VB
where	WRB
to	TO
find	VB
me	PRP
,	,
"	''
murmured	VBD
sara	NNP
.	.
"	``
and	CC
i	PRP
was	VBD
so	RB
near	JJ
.	.
"	''
somehow	RB
,	,
she	PRP
could	MD
not	RB
forget	VB
that	IN
she	PRP
had	VBD
been	VBN
so	RB
near	JJ
.	.
"	``
he	PRP
believed	VBD
you	PRP
were	VBD
in	IN
school	NN
in	IN
france	NNP
,	,
"	''
mrs	NNP
.	NNP
carmichael	NNP
explained	VBD
.	.
"	``
and	CC
he	PRP
was	VBD
continually	RB
misled	VBN
by	IN
false	JJ
clues	NNS
.	.
he	PRP
has	VBZ
looked	VBN
for	IN
you	PRP
everywhere	RB
.	.
when	WRB
he	PRP
saw	VBD
you	PRP
pass	VB
by	RB
,	,
looking	VBG
so	RB
sad	JJ
and	CC
neglected	JJ
,	,
he	PRP
did	VBD
not	RB
dream	VB
that	IN
you	PRP
were	VBD
his	PRP$
friend	NN
's	POS
poor	JJ
child	NN
;	:
but	CC
because	IN
you	PRP
were	VBD
a	DT
little	JJ
girl	NN
,	,
too	RB
,	,
he	PRP
was	VBD
sorry	JJ
for	IN
you	PRP
,	,
and	CC
wanted	VBD
to	TO
make	VB
you	PRP
happier	JJR
.	.
and	CC
he	PRP
told	VBD
ram	NNP
dass	NNP
to	TO
climb	VB
into	IN
your	PRP$
attic	NN
window	NN
and	CC
try	VB
to	TO
make	VB
you	PRP
comfortable	JJ
.	.
"	``
sara	NNP
gave	VBD
a	DT
start	NN
of	IN
joy	NN
;	:
her	PRP$
whole	JJ
look	NN
changed	VBD
.	.
"	``
did	VBD
ram	NNP
dass	NNP
bring	VB
the	DT
things	NNS
?	.
"	''
she	PRP
cried	VBD
out	RP
.	.
"	``
did	VBD
he	PRP
tell	VB
ram	NNP
dass	NNP
to	TO
do	VB
it	PRP
?	.
did	VBD
he	PRP
make	VB
the	DT
dream	NN
that	WDT
came	VBD
true	JJ
?	.
"	``
"	``
yes	UH
,	,
my	PRP$
dear	NN
yes	UH
!	.
he	PRP
is	VBZ
kind	JJ
and	CC
good	JJ
,	,
and	CC
he	PRP
was	VBD
sorry	JJ
for	IN
you	PRP
,	,
for	IN
little	JJ
lost	JJ
sara	NNP
crewe	NNP
's	POS
sake	NN
.	.
"	''
the	DT
library	NN
door	NN
opened	VBD
and	CC
mr	NNP
.	NNP
carmichael	NNP
appeared	VBD
,	,
calling	VBG
sara	NNP
to	IN
him	PRP
with	IN
a	DT
gesture	NN
.	.
"	``
mr	NNP
.	NNP
carrisford	NNP
is	VBZ
better	JJR
already	RB
,	,
"	''
he	PRP
said	VBD
.	.
"	``
he	PRP
wants	VBZ
you	PRP
to	TO
come	VB
to	IN
him	PRP
.	.
"	''
sara	NNP
did	VBD
not	RB
wait	VB
.	.
when	WRB
the	DT
indian	JJ
gentleman	NN
looked	VBD
at	IN
her	PRP
as	IN
she	PRP
entered	VBD
,	,
he	PRP
saw	VBD
that	IN
her	PRP$
face	NN
was	VBD
all	RB
