when	WRB
elder	NN
,	,
groggily	RB
.	.
"	``
he	PRP
's	VBZ
in	IN
town	NN
.	.
the	DT
infernal	JJ
ole	JJ
fool	NN
'	VBZ
sulted	VBD
me	PRP
,	,
an	CC
'	''
i	PRP
lef	VBD
'	''
him	PRP
to	TO
walk	VB
home	RB
.	.
"	''
his	PRP$
wife	NN
surveyed	VBD
him	PRP
.	.
really	RB
at	IN
that	DT
moment	NN
she	PRP
did	VBD
think	VB
his	PRP$
mind	NN
was	VBD
gone	VBN
;	:
but	CC
the	DT
leer	NN
upon	IN
the	DT
old	JJ
man	NN
's	POS
face	NN
enraged	VBD
her	PRP
beyond	IN
endurance	NN
.	.
"	``
you	PRP
did	VBD
,	,
did	VBD
you	PRP
?	.
well	UH
,	,
now	RB
,	,
i	PRP
reckon	VBP
you	PRP
will	MD
laugh	VB
for	IN
some	DT
cause	NN
,	,
you	PRP
will	MD
.	.
back	RB
you	PRP
go	VBP
,	,
sir	NN
straight	RB
back	RB
;	:
an	CC
'	XX
do	VBP
n't	RB
you	PRP
come	VB
home	RB
'	IN
thout	IN
that	DT
donkey	NN
,	,
or	CC
you	PRP
will	MD
rue	VB
it	PRP
,	,
sure	RB
as	IN
my	PRP$
name	NN
is	VBZ
hannah	NNP
brown	NNP
.	.
aleck	UH
!	.
you	PRP
aleck	UH
-	HYPH
k	UH
-	HYPH
k	UH
!	.
"	''
a	DT
black	JJ
boy	NN
darted	VBD
round	IN
the	DT
corner	NN
,	,
from	IN
behind	IN
which	WDT
,	,
with	IN
several	JJ
others	NNS
,	,
he	PRP
had	VBD
beheld	VBN
the	DT
brief	JJ
but	CC
stirring	JJ
scene	NN
.	.
"	``
put	VB
a	DT
saddle	NN
on	IN
er	PRP$
mule	NN
.	.
the	DT
elder	NN
's	POS
gwine	VB
back	RB
to	IN
town	NN
.	.
and	CC
do	VBP
n't	RB
you	PRP
be	VB
long	JJ
about	IN
it	PRP
neither	RB
.	.
"	``
"	``
yessum	UH
.	.
"	''
aleck	NNP
's	POS
ivories	NNS
gleamed	VBD
in	IN
the	DT
darkness	NN
as	IN
he	PRP
disappeared	VBD
.	.
elder	NNP
brown	NNP
was	VBD
soberer	JJR
at	IN
that	DT
moment	NN
than	IN
he	PRP
had	VBD
been	VBN
for	IN
hours	NNS
.	.
"	``
hannah	NNP
,	,
you	PRP
do	VBP
n't	RB
mean	VB
it	PRP
?	.
"	``
"	``
yes	UH
,	,
sir	NN
,	,
i	PRP
do	VBP
.	.
back	RB
you	PRP
go	VBP
to	IN
town	NN
as	RB
sure	RB
as	IN
my	PRP$
name	NN
is	VBZ
hannah	NNP
brown	NNP
.	.
"	''
the	DT
elder	NN
was	VBD
silent	JJ
.	.
he	PRP
had	VBD
never	RB
known	VBN
his	PRP$
wife	NN
to	TO
relent	VB
on	IN
any	DT
occasion	NN
after	IN
she	PRP
had	VBD
affirmed	VBN
her	PRP$
intention	NN
,	,
supplemented	VBN
with	IN
"	``
as	RB
sure	JJ
as	IN
my	PRP$
name	NN
is	VBZ
hannah	NNP
brown	NNP
.	.
"	''
it	PRP
was	VBD
her	PRP$
way	NN
of	IN
swearing	VBG
.	.
no	DT
affidavit	NN
would	MD
have	VB
had	VBN
half	PDT
the	DT
claim	NN
upon	IN
her	PRP
as	IN
that	DT
simple	JJ
enunciation	NN
.	.
so	RB
back	RB
to	IN
town	NN
went	VBD
elder	NNP
brown	NNP
,	,
not	RB
in	IN
the	DT
order	NN
of	IN
the	DT
early	JJ
morn	NN
,	,
but	CC
silently	RB
,	,
moodily	RB
,	,
despairingly	RB
,	,
surrounded	VBN
by	IN
mental	JJ
and	CC
actual	JJ
gloom	NN
.	.
the	DT
old	JJ
man	NN
had	VBD
turned	VBN
a	DT
last	JJ
appealing	JJ
glance	NN
upon	IN
the	DT
angry	JJ
woman	NN
,	,
as	IN
he	PRP
mounted	VBD
with	IN
aleck	NNP
's	POS
assistance	NN
,	,
and	CC
sat	VBD
in	IN
the	DT
light	NN
that	WDT
streamed	VBD
from	IN
out	IN
the	DT
kitchen	NN
window	NN
.	.
she	PRP
met	VBD
the	DT
glance	NN
without	IN
a	DT
waver	NN
.	.
"	``
she	PRP
means	VBZ
it	PRP
,	,
as	RB
sure	JJ
as	IN
my	PRP$
name	NN
is	VBZ
elder	NNP
brown	NNP
,	,
"	''
he	PRP
said	VBD
,	,
thickly	RB
.	.
then	RB
he	PRP
rode	VBD
on	RP
.	.
iv	NNP
to	TO
say	VB
that	IN
elder	NNP
brown	NNP
suffered	VBD
on	IN
this	DT
long	JJ
journey	NN
back	RB
to	IN
macon	NNP
would	MD
only	RB
mildly	RB
outline	VB
his	PRP$
experience	NN
.	.
his	PRP$
early	JJ
morning	NN
's	POS
fall	NN
had	VBD
begun	VBN
to	TO
make	VB
itself	PRP
felt	VBN
.	.
he	PRP
was	VBD
sore	JJ
and	CC
uncomfortable	JJ
.	.
besides	RB
,	,
his	PRP$
stomach	NN
was	VBD
empty	JJ
,	,
and	CC
called	VBD
for	IN
two	CD
meals	NNS
it	PRP
had	VBD
missed	VBN
for	IN
the	DT
first	JJ
time	NN
in	IN
years	NNS
.	.
as	IN
the	DT
elder	NN
sang	VBD
his	PRP$
favorite	JJ
hymn	NN
,	,
"	``
iam	UH
glad	JJ
salvation	NNP
's	VBZ
free	JJ
,	,
"	''
his	PRP$
stentorian	JJ
voice	NN
awoke	VBD
the	DT
echoes	NNS
.	.
most	JJS
of	IN
the	DT
company	NN
rolled	VBD
upon	IN
the	DT
floor	NN
in	IN
convulsions	NNS
of	IN
laughter	NN
.	.
the	DT
exhibition	NN
came	VBD
to	IN
a	DT
close	NN
by	IN
the	DT
chair	NN
overturning	VBG
.	.
again	RB
elder	NNP
brown	NNP
fell	VBD
into	IN
his	PRP$
beloved	JJ
hat	NN
.	.
he	PRP
arose	VBD
and	CC
shouted	VBD
"	``
whoa	UH
,	,
balaam	NNP
!	.
"	''
again	RB
he	PRP
seized	VBD
the	DT
nearest	JJS
weapon	NN
,	,
and	CC
sought	VBD
satisfaction	NN
.	.
the	DT
young	JJ
gentleman	NN
with	IN
political	JJ
sentiments	NNS
was	VBD
knocked	VBN
under	IN
the	DT
table	NN
,	,
and	CC
hamlet	NNP
only	RB
escaped	VBD
injury	NN
by	IN
beating	VBG
the	DT
infuriated	JJ
elder	NN
into	IN
the	DT
street	NN
.	.
what	WP
next	RB
?	.
well	UH
,	,
i	PRP
hardly	RB
know	VBP
.	.
how	WRB
the	DT
elder	NN
found	VBD
balaam	NNP
is	VBZ
a	DT
mystery	NN
yet	RB
not	RB
that	IN
balaam	NNP
was	VBD
hard	JJ
to	TO
find	VB
,	,
but	CC
that	IN
the	DT
old	JJ
man	NN
was	VBD
in	IN
no	DT
condition	NN
to	TO
find	VB
anything	NN
.	.
still	RB
he	PRP
did	VBD
,	,
and	CC
climbing	VBG
laboriously	RB
into	IN
the	DT
saddle	NN
,	,
he	PRP
held	VBD
on	RP
stupidly	RB
while	IN
the	DT
hungry	JJ
beast	NN
struck	VBD
out	RP
for	IN
home	NN
.	.
v	XX
and	CC
so	RB
on	IN
this	DT
occasion	NN
when	WRB
she	PRP
closed	VBD
the	DT
book	NN
the	DT
fierce	JJ
anger	NN
was	VBD
gone	VBN
.	.
she	PRP
was	VBD
not	RB
a	DT
hard	JJ
woman	NN
naturally	RB
.	.
fate	NN
had	VBD
brought	VBN
her	PRP
conditions	NNS
which	WDT
covered	VBD
up	RP
the	DT
woman	NN
heart	NN
within	IN
her	PRP
,	,
but	CC
though	IN
it	PRP
lay	VBP
deep	JJ
,	,
it	PRP
was	VBD
there	RB
still	RB
.	.
as	IN
she	PRP
sat	VBD
with	IN
folded	JJ
hands	NNS
her	PRP$
eyes	NNS
fell	VBD
upon	IN
what	WP
?	.
the	DT
pink	JJ
bonnet	NN
with	IN
the	DT
blue	JJ
plume	NN
!	.
it	PRP
may	MD
appear	VB
strange	JJ
to	IN
those	DT
who	WP
do	VBP
not	RB
understand	VB
such	JJ
natures	NNS
,	,
but	CC
to	IN
me	PRP
her	PRP$
next	JJ
action	NN
was	VBD
perfectly	RB
natural	JJ
.	.
she	PRP
burst	VBD
into	IN
a	DT
convulsive	JJ
laugh	NN
;	:
then	RB
,	,
seizing	VBG
the	DT
queer	JJ
object	NN
,	,
bent	VBD
her	PRP$
face	NN
upon	IN
it	PRP
and	CC
sobbed	VBD
hysterically	RB
.	.
when	WRB
the	DT
storm	NN
was	VBD
over	RP
,	,
very	RB
tenderly	RB
she	PRP
laid	VBD
the	DT
gift	NN
aside	RB
,	,
and	CC
bare	JJ
-	HYPH
headed	JJ
passed	VBD
out	RP
into	IN
the	DT
night	NN
.	.
for	IN
a	DT
half	JJ
-	HYPH
hour	NN
she	PRP
stood	VBD
at	IN
the	DT
end	NN
of	IN
the	DT
lane	NN
,	,
and	CC
then	RB
hungry	JJ
balaam	NNP
and	CC
his	PRP$
master	NN
hove	VBD
in	IN
sight	NN
.	.
reaching	VBG
out	RP
her	PRP$
hand	NN
,	,
she	PRP
checked	VBD
the	DT
beast	NN
.	.
"	``
william	NNP
,	,
"	''
said	VBD
she	PRP
,	,
very	RB
gently	RB
,	,
"	``
where	WRB
is	VBZ
the	DT
mule	NN
?	.
"	''
the	DT
elder	NN
had	VBD
been	VBN
asleep	JJ
.	.
he	PRP
woke	VBD
and	CC
gazed	VBD
upon	IN
her	PRP
blankly	RB
.	.
"	``
what	WDT
mule	NN
,	,
hannah	NNP
?	.
"	''
"	``
the	DT
mule	NN
you	PRP
rode	VBD
to	IN
town	NN
.	.
"	''
for	IN
one	CD
full	JJ
minute	NN
the	DT
elder	NN
studied	VBD
her	PRP$
face	NN
.	.
then	RB
it	PRP
burst	VBD
from	IN
his	PRP$
lips	NNS
"	``
well	UH
,	,
bless	VB
me	PRP
!	.
if	IN
i	PRP
did	VBD
n't	RB
bring	VB
balaam	NNP
and	CC
forgit	VB
the	DT
mule	NN
!	.
"	''
the	DT
woman	NN
laughed	VBD
till	IN
her	PRP$
eyes	NNS
ran	VBD
water	NN
.	.
"	``
william	NNP
,	,
"	''
said	VBD
she	PRP
,	,
"	``
youare	PRP
drunk	JJ
.	.
"	''
"	``
hannah	NNP
,	,
"	''
said	VBD
he	PRP
,	,
meekly	RB
,	,
"	``
i	PRP
know	VBP
it	PRP
.	.
the	DT
truth	NN
is	VBZ
,	,
hannah	NNP
,	,
i	PRP
"	``
"	VBP
never	RB
mind	VBP
,	,
now	RB
,	,
william	NNP
,	,
"	''
she	PRP
said	VBD
,	,
gently	RB
.	.
"	``
you	PRP
are	VBP
tired	JJ
and	CC
hungry	JJ
.	.
come	VB
into	IN
the	DT
house	NN
,	,
husband	NN
.	.
"	''
leading	VBG
balaam	NNP
,	,
she	PRP
disappeared	VBD
down	IN
the	DT
lane	NN
;	:
and	CC
when	WRB
,	,
a	DT
few	JJ
minutes	NNS
later	RB
,	,
hannah	NNP
brown	NNP
and	CC
her	PRP$
husband	NN
entered	VBD
through	IN
the	DT
light	NN
that	WDT
streamed	VBD
out	IN
of	IN
the	DT
open	JJ
door	NN
her	PRP$
arms	NNS
were	VBD
around	IN
him	PRP
,	,
and	CC
her	PRP$
face	NN
upturned	JJ
to	IN
his	PRP
.	.
the	DT
hotel	NN
experience	NN
of	IN
mr	NNP
.	NNP
pink	NNP
fluker	NNP
by	IN
richard	NNP
malcolm	NNP
johnston	NNP
(	-LRB-
1822	CD
-	SYM
1898	CD
)	-RRB-
[	XX
from	IN
the	DT
century	NNP
magazine	NNP
,	,
june	NNP
,	,
1886	CD
;	:
copyright	NN
,	,
1886	CD
,	,
by	IN
the	DT
century	NNP
co.	NNP
;	:
republished	VBN
in	IN
the	DT
volume	NN
,	,
mr	NNP
.	NNP
absalom	NNP
billingslea	NNP
,	,
and	CC
other	JJ
georgia	NNP
folk	NNP
(	-LRB-
1888	CD
)	-RRB-
,	,
by	IN
richard	NNP
malcolm	NNP
johnston	NNP
(	-LRB-
harper	NNP
&	NNP
brothers	NNP
)	-RRB-
.	.
]	XX
i	PRP
"	``
fool	NN
who	WP
?	.
"	''
on	IN
the	DT
day	NN
after	IN
his	PRP$
marriage	NN
he	PRP
had	VBD
asked	VBD
,	,
with	IN
a	DT
look	NN
at	IN
those	DT
who	WP
had	VBD
often	RB
said	VBN
that	IN
he	PRP
was	VBD
too	RB
little	JJ
to	TO
have	VB
a	DT
wife	NN
.	.
they	PRP
had	VBD
a	DT
little	JJ
property	NN
to	TO
begin	VB
with	RP
,	,
a	DT
couple	NN
of	IN
hundreds	NNS
of	IN
acres	NNS
,	,
and	CC
two	CD
or	CC
three	CD
negroes	NNS
apiece	RB
.	.
yet	RB
,	,
except	IN
in	IN
the	DT
natural	JJ
increase	NN
of	IN
the	DT
latter	JJ
,	,
the	DT
accretions	NNS
of	IN
worldly	JJ
estate	NN
had	VBD
been	VBN
inconsiderable	JJ
till	IN
now	RB
,	,
when	WRB
their	PRP$
oldest	JJS
child	NN
,	,
marann	NNP
,	,
was	VBD
some	DT
fifteen	CD
years	NNS
old	JJ
.	.
these	DT
accretions	NNS
had	VBD
been	VBN
saved	VBN
and	CC
taken	VBN
care	NN
of	IN
by	IN
mrs	NNP
.	NNP
fluker	NNP
,	,
who	WP
was	VBD
as	RB
staid	JJ
and	CC
silent	JJ
as	IN
he	PRP
was	VBD
mobile	JJ
and	CC
voluble	JJ
.	.
mr	NNP
.	NNP
fluker	NNP
often	RB
said	VBD
that	IN
it	PRP
puzzled	VBD
him	PRP
how	WRB
it	PRP
was	VBD
that	IN
he	PRP
made	VBD
smaller	JJR
crops	NNS
than	IN
most	JJS
of	IN
his	PRP$
neighbors	NNS
,	,
when	WRB
,	,
if	IN
not	RB
always	RB
convincing	JJ
,	,
he	PRP
could	MD
generally	RB
put	VB
every	DT
one	CD
of	IN
them	PRP
to	IN
silence	NN
in	IN
discussions	NNS
upon	IN
agricultural	JJ
topics	NNS
.	.
this	DT
puzzle	NN
had	VBD
led	VBN
him	PRP
to	IN
not	RB
unfrequent	JJ
ruminations	NNS
in	IN
his	PRP$
mind	NN
as	IN
to	IN
whether	IN
or	CC
not	RB
his	PRP$
vocation	NN
might	MD
lie	VB
in	IN
something	NN
higher	JJR
than	IN
the	DT
mere	JJ
tilling	NN
of	IN
the	DT
ground	NN
.	.
these	DT
ruminations	NNS
had	VBD
lately	RB
taken	VBN
a	DT
definite	JJ
direction	NN
,	,
and	CC
it	PRP
was	VBD
after	IN
several	JJ
conversations	NNS
which	WDT
he	PRP
had	VBD
held	VBN
with	IN
his	PRP$
friend	NN
matt	NNP
pike	NNP
.	.
mr	NNP
.	NNP
matt	NNP
pike	NNP
was	VBD
a	DT
bachelor	NN
of	IN
some	DT
thirty	CD
summers	NNS
,	,
a	DT
foretime	NN
clerk	NN
consecutively	RB
in	IN
each	DT
of	IN
the	DT
two	CD
stores	NNS
of	IN
the	DT
village	NN
,	,
but	CC
latterly	RB
a	DT
trader	NN
on	IN
a	DT
limited	JJ
scale	NN
in	IN
horses	NNS
,	,
wagons	NNS
,	,
cows	NNS
,	,
and	CC
similar	JJ
objects	NNS
of	IN
commerce	NN
,	,
and	CC
at	IN
all	DT
times	NNS
a	DT
politician	NN
.	.
his	PRP$
hopes	NNS
of	IN
holding	VBG
office	NN
had	VBD
been	VBN
continually	RB
disappointed	VBN
until	IN
mr	NNP
.	NNP
john	NNP
sanks	NNP
became	VBD
sheriff	NN
,	,
and	CC
rewarded	VBN
with	IN
a	DT
deputyship	NN
some	DT
important	JJ
special	JJ
service	NN
rendered	VBN
by	IN
him	PRP
in	IN
the	DT
late	JJ
very	RB
close	JJ
canvass	NN
.	.
now	RB
was	VBD
a	DT
chance	NN
to	TO
rise	VB
,	,
mr	NNP
.	NNP
pike	NNP
thought	VBD
.	.
all	DT
he	PRP
wanted	VBD
,	,
he	PRP
had	VBD
often	RB
said	VBD
,	,
was	VBD
a	DT
start	NN
.	.
it	PRP
happened	VBD
just	RB
about	RB
then	RB
that	IN
the	DT
arrears	NNS
of	IN
rent	NN
for	IN
the	DT
village	NN
hotel	NN
had	VBD
so	RB
accumulated	VBN
on	IN
mr	NNP
.	NNP
spouter	NNP
,	,
the	DT
last	JJ
occupant	NN
,	,
that	IN
the	DT
owner	NN
,	,
an	DT
indulgent	JJ
man	NN
,	,
finally	RB
had	VBD
said	VBN
,	,
what	WP
he	PRP
had	VBD
been	VBN
expected	VBN
for	IN
years	NNS
and	CC
years	NNS
to	TO
say	VB
,	,
that	IN
he	PRP
could	MD
not	RB
wait	VB
on	IN
mr	NNP
.	NNP
spouter	NNP
forever	RB
and	CC
eternally	RB
.	.
it	PRP
was	VBD
at	IN
this	DT
very	JJ
nick	NN
,	,
so	RB
to	TO
speak	VB
,	,
that	WDT
mr	NNP
.	NNP
pike	NNP
made	VBD
to	IN
mr	NNP
.	NNP
fluker	NNP
the	DT
suggestion	NN
to	TO
quit	VB
a	DT
business	NN
so	RB
far	RB
beneath	IN
his	PRP$
powers	NNS
,	,
sell	VB
out	RP
,	,
or	CC
rent	VB
out	RP
,	,
or	CC
tenant	VB
out	RP
,	,
or	CC
do	VB
something	NN
else	RB
with	IN
his	PRP$
farm	NN
,	,
march	VB
into	IN
town	NN
,	,
plant	VB
himself	PRP
upon	IN
the	DT
ruins	NNS
of	IN
jacob	NNP
spouter	NNP
,	,
and	CC
begin	VB
his	PRP$
upward	JJ
soar	NN
.	.
now	RB
mr	NNP
.	NNP
fluker	NNP
had	VBD
many	JJ
and	CC
many	PDT
a	DT
time	NN
acknowledged	VBN
that	IN
he	PRP
had	VBD
ambition	NN
;	:
so	RB
one	CD
night	NN
he	PRP
said	VBD
to	IN
his	PRP$
wife	NN
"	``
you	PRP
see	VBP
how	WRB
it	PRP
is	VBZ
here	RB
,	,
nervy	JJ
.	.
farmin	VBG
'	''
somehow	RB
do	VBP
n't	RB
suit	VB
my	PRP$
talons	NNS
.	.
i	PRP
need	VBP
to	TO
be	VB
flung	VBN
more	JJR
'	JJ
mong	JJ
people	NNS
to	TO
fetch	VB
out	RP
what	WP
's	VBZ
in	IN
me	PRP
.	.
then	RB
thar	NNP
's	POS
marann	NNP
,	,
which	WDT
is	VBZ
gittin	VBG
'	VBG
to	TO
be	VB
nigh	RB
on	RB
to	IN
a	DT
growd	VB
-	HYPH
up	RP
woman	NN
;	:
an	CC
'	PRP
the	DT
child	NN
need	VBP
the	DT
s'iety	NN
which	WDT
you	PRP
'	VBP
bleeged	VBD
to	TO
acknowledge	VB
is	VBZ
sca'ce	XX
about	RB
here	RB
,	,
six	CD
mile	NN
from	IN
town	NN
.	.
your	PRP$
brer	NNP
sam	NNP
can	MD
stay	VB
here	RB
an	CC
'	''
raise	VB
butter	NN
,	,
chickens	NNS
,	,
eggs	NNS
,	,
pigs	NNS
,	,
an	CC
'	''
an	CC
'	''
an	CC
'	''
so	RB
forth	RB
.	.
matt	NNP
pike	NNP
say	VBP
he	PRP
jes	RB
'	''
know	VBP
they	PRP
's	VBZ
money	NN
in	IN
it	PRP
,	,
an	CC
'	''
special	JJ
with	IN
a	DT
housekeeper	NN
keerful	JJ
an	CC
'	RB
equinomical	JJ
like	IN
you	PRP
.	.
"	``
"	``
maybe	RB
it	PRP
is	VBZ
best	JJS
,	,
mr	NNP
.	NNP
fluker	NNP
.	.
iam	PRP
willin	VBG
'	''
to	TO
try	VB
it	PRP
for	IN
a	DT
year	NN
,	,
anyhow	RB
.	.
we	PRP
ca	MD
n't	RB
lose	VB
much	JJ
by	IN
that	DT
.	.
as	IN
for	IN
matt	NNP
pike	NNP
,	,
i	PRP
have	VBP
not	RB
the	DT
confidence	NN
in	IN
him	PRP
you	PRP
has	VBZ
.	.
still	RB
,	,
he	PRP
bein	VBG
'	''
a	DT
boarder	NN
and	CC
deputy	NN
sheriff	NN
,	,
he	PRP
might	MD
accidentally	RB
do	VB
us	PRP
some	DT
good	NN
.	.
iwill	PRP
try	VB
it	PRP
for	IN
a	DT
year	NN
providin	VBG
'	''
you	PRP
will	MD
fetch	VB
me	PRP
the	DT
money	NN
as	IN
it	PRP
is	VBZ
paid	VBN
in	RP
,	,
for	IN
you	PRP
know	VBP
i	PRP
know	VBP
how	WRB
to	TO
manage	VB
that	DT
better	RBR
than	IN
you	PRP
do	VBP
,	,
and	CC
you	PRP
know	VBP
iwill	PRP
try	VB
to	TO
manage	VB
it	PRP
and	CC
all	PDT
the	DT
rest	NN
of	IN
the	DT
business	NN
for	IN
the	DT
best	JJS
.	.
"	''
to	IN
this	DT
provision	NN
mr	NNP
.	NNP
fluker	NNP
gave	VBD
consent	NN
,	,
qualified	VBN
by	IN
the	DT
claim	NN
that	IN
he	PRP
was	VBD
to	TO
retain	VB
a	DT
small	JJ
margin	NN
for	IN
indispensable	JJ
personal	JJ
exigencies	NNS
.	.
for	IN
he	PRP
contended	VBD
,	,
perhaps	RB
with	IN
justice	NN
,	,
that	IN
no	DT
man	NN
in	IN
the	DT
responsible	JJ
position	NN
he	PRP
was	VBD
about	JJ
to	TO
take	VB
ought	MD
to	TO
be	VB
expected	VBN
to	TO
go	VB
about	RB
,	,
or	CC
sit	VB
about	RB
,	,
or	CC
even	RB
lounge	VB
about	RB
,	,
without	IN
even	RB
a	DT
continental	JJ
red	NN
in	IN
his	PRP$
pocket	NN
.	.
the	DT
new	JJ
house	NN
i	PRP
say	VBP
new	JJ
because	IN
tongue	NN
could	MD
not	RB
tell	VB
the	DT
amount	NN
of	IN
scouring	NN
,	,
scalding	NN
,	,
and	CC
whitewashing	NN
that	WDT
that	DT
excellent	JJ
housekeeper	NN
had	VBD
done	VBN
before	IN
a	DT
single	JJ
stick	NN
of	IN
her	PRP$
furniture	NN
went	VBD
into	IN
it	PRP
the	DT
new	JJ
house	NN
,	,
i	PRP
repeat	VBP
,	,
opened	VBD
with	IN
six	CD
eating	VBG
boarders	NNS
at	IN
ten	CD
dollars	NNS
a	DT
month	NN
apiece	RB
,	,
and	CC
two	CD
eating	VBG
and	CC
sleeping	VBG
at	IN
eleven	CD
,	,
besides	IN
mr	NNP
.	NNP
pike	NNP
,	,
who	WP
made	VBD
a	DT
special	JJ
contract	NN
.	.
transient	JJ
custom	NN
was	VBD
hoped	VBN
to	TO
hold	VB
its	PRP$
own	JJ
,	,
and	CC
that	DT
of	IN
the	DT
county	NN
people	NNS
under	IN
the	DT
deputy	NN
's	POS
patronage	NN
and	CC
influence	NN
to	TO
be	VB
considerably	RB
enlarged	VBN
.	.
in	IN
words	NNS
and	CC
other	JJ
encouragement	NN
mr	NNP
.	NNP
pike	NNP
was	VBD
pronounced	VBN
.	.
he	PRP
could	MD
commend	VB
honestly	RB
,	,
and	CC
he	PRP
did	VBD
so	RB
cordially	RB
.	.
